Employee ID,Employee Name,NRIC,DOB,DOJ,Department_ID,Modules Taught
NUS12408,,,1976-06-15T00:00:00Z,2000-05-15T00:00:00Z,IDEPT1388,
NUS12409,,,1973-07-05T00:00:00Z,2007-02-19T00:00:00Z,IDEPT1423,
NUS12410,,,1994-04-20T00:00:00Z,2004-03-09T00:00:00Z,IDEPT3115,
NUS12411,,,1983-11-12T00:00:00Z,2006-02-07T00:00:00Z,IDEPT4132,
NUS12412,,,1986-08-20T00:00:00Z,2001-11-13T00:00:00Z,IDEPT4055,
NUS12413,,,1993-03-12T00:00:00Z,2009-06-16T00:00:00Z,IDEPT7783,
NUS12414,,,1975-01-23T00:00:00Z,2011-02-28T00:00:00Z,IDEPT1378,
NUS12415,,,1975-11-01T00:00:00Z,2006-11-15T00:00:00Z,IDEPT5881,
NUS12416,,,1971-09-08T00:00:00Z,2013-10-04T00:00:00Z,IDEPT5127,
NUS12417,,,1970-07-07T00:00:00Z,2005-10-05T00:00:00Z,IDEPT1615,
NUS12418,,,1990-09-16T00:00:00Z,2010-02-02T00:00:00Z,IDEPT1825,
NUS12419,,,1970-12-15T00:00:00Z,2007-09-26T00:00:00Z,IDEPT6347,
NUS12420,,,1985-10-13T00:00:00Z,2009-08-29T00:00:00Z,IDEPT5127,
NUS12421,,,1970-12-08T00:00:00Z,2004-12-12T00:00:00Z,IDEPT4670,
NUS12422,,,1982-02-13T00:00:00Z,2011-05-28T00:00:00Z,IDEPT4938,
NUS12423,,,1982-08-12T00:00:00Z,2013-01-29T00:00:00Z,IDEPT1677,
NUS12424,,,1980-02-14T00:00:00Z,2006-07-08T00:00:00Z,IDEPT1537,
NUS12425,,,1982-09-07T00:00:00Z,2003-09-21T00:00:00Z,IDEPT6347,
NUS12426,,,1981-01-11T00:00:00Z,2011-08-11T00:00:00Z,IDEPT8379,
NUS12427,,,1989-09-29T00:00:00Z,2009-04-24T00:00:00Z,IDEPT5408,
NUS12428,,,1985-09-08T00:00:00Z,2009-06-09T00:00:00Z,IDEPT8598,
NUS12429,,,1978-05-13T00:00:00Z,2001-01-31T00:00:00Z,IDEPT1423,
NUS12430,,,1991-06-20T00:00:00Z,2008-10-03T00:00:00Z,IDEPT1142,
NUS12431,,,1982-01-26T00:00:00Z,2011-04-27T00:00:00Z,IDEPT1537,
NUS12432,,,1991-06-10T00:00:00Z,2010-06-06T00:00:00Z,IDEPT4938,
NUS12433,,,1986-06-26T00:00:00Z,2012-04-25T00:00:00Z,IDEPT7783,
NUS12434,,,1975-04-11T00:00:00Z,2011-04-28T00:00:00Z,IDEPT4132,
NUS12435,,,1991-12-17T00:00:00Z,2008-05-15T00:00:00Z,IDEPT6347,
NUS12436,,,1981-08-15T00:00:00Z,2009-06-17T00:00:00Z,IDEPT1423,
NUS12437,,,1975-10-23T00:00:00Z,2008-05-17T00:00:00Z,IDEPT1537,
NUS12438,,,1969-08-20T00:00:00Z,2014-05-14T00:00:00Z,IDEPT5109,
NUS12439,,,1976-06-27T00:00:00Z,2001-06-14T00:00:00Z,IDEPT1367,
NUS12440,,,1976-12-13T00:00:00Z,2007-04-09T00:00:00Z,IDEPT7626,
NUS12441,,,1982-02-18T00:00:00Z,2008-07-22T00:00:00Z,IDEPT3868,
NUS12442,,,1986-02-02T00:00:00Z,2000-07-23T00:00:00Z,IDEPT7005,
NUS12443,,,1986-12-12T00:00:00Z,2003-12-04T00:00:00Z,IDEPT5528,
NUS12444,,,1985-01-17T00:00:00Z,1999-12-14T00:00:00Z,IDEPT8598,
NUS12445,,,1977-09-02T00:00:00Z,2014-05-13T00:00:00Z,IDEPT2425,
NUS12446,,,1972-11-30T00:00:00Z,2003-05-27T00:00:00Z,IDEPT1378,
NUS12447,,,1976-08-19T00:00:00Z,2008-08-14T00:00:00Z,IDEPT1537,
NUS12448,,,1985-10-16T00:00:00Z,2001-07-31T00:00:00Z,IDEPT4670,
NUS12449,,,1970-06-04T00:00:00Z,2004-01-20T00:00:00Z,IDEPT4132,
NUS12450,,,1985-11-09T00:00:00Z,2002-04-24T00:00:00Z,IDEPT1367,
NUS12451,,,1992-01-01T00:00:00Z,2012-03-03T00:00:00Z,IDEPT5408,
NUS12452,,,1985-10-06T00:00:00Z,2002-11-17T00:00:00Z,IDEPT4938,
NUS12453,,,1971-06-08T00:00:00Z,2004-08-16T00:00:00Z,IDEPT4938,
NUS12454,,,1982-11-19T00:00:00Z,2007-10-24T00:00:00Z,IDEPT1615,
NUS12455,,,1978-12-18T00:00:00Z,2006-09-04T00:00:00Z,IDEPT2601,
NUS12456,,,1990-10-14T00:00:00Z,2001-09-13T00:00:00Z,IDEPT8313,
NUS12457,,,1994-07-11T00:00:00Z,2005-12-24T00:00:00Z,IDEPT3115,
NUS12458,,,1983-02-13T00:00:00Z,2011-04-30T00:00:00Z,IDEPT8379,
NUS12459,,,1978-11-14T00:00:00Z,2013-12-17T00:00:00Z,IDEPT4670,
NUS12460,,,1979-07-18T00:00:00Z,2004-05-24T00:00:00Z,IDEPT1388,
NUS12461,,,1979-01-27T00:00:00Z,2007-06-18T00:00:00Z,IDEPT1825,
NUS12462,,,1989-10-16T00:00:00Z,2005-07-29T00:00:00Z,IDEPT2054,
NUS12463,,,1990-03-23T00:00:00Z,2012-11-07T00:00:00Z,IDEPT5109,
NUS12464,,,1983-11-05T00:00:00Z,2006-02-17T00:00:00Z,IDEPT2425,
NUS12465,,,1985-01-12T00:00:00Z,2007-06-20T00:00:00Z,IDEPT4670,
NUS12466,,,1991-07-02T00:00:00Z,2008-08-17T00:00:00Z,IDEPT7626,
NUS12467,,,1976-09-14T00:00:00Z,2011-03-18T00:00:00Z,IDEPT1423,
NUS12468,,,1975-06-30T00:00:00Z,1999-10-26T00:00:00Z,IDEPT8598,
NUS12469,,,1973-04-02T00:00:00Z,2002-05-17T00:00:00Z,IDEPT4132,
NUS12470,,,1970-07-22T00:00:00Z,2006-03-24T00:00:00Z,IDEPT8313,
NUS12471,,,1971-09-18T00:00:00Z,2000-02-19T00:00:00Z,IDEPT2054,
NUS12472,,,1978-05-28T00:00:00Z,2004-03-01T00:00:00Z,IDEPT5127,
NUS12473,,,1970-07-11T00:00:00Z,2008-11-03T00:00:00Z,IDEPT3062,
NUS12474,,,1983-02-17T00:00:00Z,2002-06-16T00:00:00Z,IDEPT7626,
NUS12475,,,1989-11-17T00:00:00Z,2014-04-01T00:00:00Z,IDEPT8313,
NUS12476,,,1980-02-19T00:00:00Z,1999-12-22T00:00:00Z,IDEPT1378,
NUS12477,,,1973-11-08T00:00:00Z,2006-06-08T00:00:00Z,IDEPT4938,
NUS12478,,,1969-08-30T00:00:00Z,2002-02-01T00:00:00Z,IDEPT6347,
NUS12479,,,1990-11-26T00:00:00Z,2001-01-14T00:00:00Z,IDEPT1142,
NUS12480,,,1983-07-27T00:00:00Z,2010-10-06T00:00:00Z,IDEPT6347,
NUS12481,,,1991-06-30T00:00:00Z,2004-04-22T00:00:00Z,IDEPT1533,
NUS12482,,,1974-02-16T00:00:00Z,2013-07-05T00:00:00Z,IDEPT5109,
NUS12483,,,1972-11-23T00:00:00Z,2013-10-13T00:00:00Z,IDEPT1677,
NUS12484,,,1987-11-27T00:00:00Z,2001-06-02T00:00:00Z,IDEPT1825,
NUS12485,,,1983-07-24T00:00:00Z,2006-03-29T00:00:00Z,IDEPT1367,
NUS12486,,,1981-12-08T00:00:00Z,2011-01-29T00:00:00Z,IDEPT2054,
NUS12487,,,1994-05-13T00:00:00Z,2008-10-11T00:00:00Z,IDEPT7626,
NUS12488,,,1984-12-24T00:00:00Z,2010-11-11T00:00:00Z,IDEPT1367,
NUS12489,,,1973-01-31T00:00:00Z,2006-10-19T00:00:00Z,IDEPT4132,
NUS12490,,,1971-04-15T00:00:00Z,2003-07-18T00:00:00Z,IDEPT3115,
NUS12491,,,1978-01-01T00:00:00Z,2014-01-15T00:00:00Z,IDEPT4055,
NUS12492,,,1988-12-05T00:00:00Z,2007-10-03T00:00:00Z,IDEPT4938,
NUS12493,,,1984-05-15T00:00:00Z,2001-03-28T00:00:00Z,IDEPT5528,
NUS12494,,,1980-11-30T00:00:00Z,2001-08-05T00:00:00Z,IDEPT2357,
NUS12495,,,1981-08-27T00:00:00Z,2006-05-15T00:00:00Z,IDEPT1388,
NUS12496,,,1988-01-19T00:00:00Z,2007-09-02T00:00:00Z,IDEPT5127,
NUS12497,,,1978-09-01T00:00:00Z,2010-08-26T00:00:00Z,IDEPT2357,
NUS12498,,,1979-07-16T00:00:00Z,2003-04-27T00:00:00Z,IDEPT4132,
NUS12499,,,1983-01-25T00:00:00Z,2009-07-29T00:00:00Z,IDEPT1142,
NUS12500,,,1986-07-07T00:00:00Z,2013-11-23T00:00:00Z,IDEPT1677,
NUS12501,,,1980-04-28T00:00:00Z,2010-04-13T00:00:00Z,IDEPT1537,
NUS12502,,,1971-06-18T00:00:00Z,2007-05-30T00:00:00Z,IDEPT3868,
NUS12503,,,1985-11-09T00:00:00Z,2009-12-22T00:00:00Z,IDEPT1367,
NUS12504,,,1991-02-10T00:00:00Z,2012-08-21T00:00:00Z,IDEPT8313,
NUS12505,,,1988-07-30T00:00:00Z,2011-06-03T00:00:00Z,IDEPT2054,
NUS12506,,,1980-01-25T00:00:00Z,2008-02-23T00:00:00Z,IDEPT7005,
NUS12507,,,1985-05-12T00:00:00Z,2001-02-20T00:00:00Z,IDEPT1367,
NUS12508,,,1972-12-05T00:00:00Z,2006-10-04T00:00:00Z,IDEPT3062,
NUS12509,,,1976-01-12T00:00:00Z,2007-05-11T00:00:00Z,IDEPT6347,
NUS12510,,,1970-04-12T00:00:00Z,2003-03-10T00:00:00Z,IDEPT8313,
NUS12511,,,1974-02-06T00:00:00Z,2008-05-27T00:00:00Z,IDEPT7626,
NUS12512,,,1992-10-02T00:00:00Z,2008-12-12T00:00:00Z,IDEPT5528,
NUS12513,,,1977-12-11T00:00:00Z,2008-04-18T00:00:00Z,IDEPT4938,
NUS12514,,,1992-12-13T00:00:00Z,2011-03-27T00:00:00Z,IDEPT5127,
NUS12515,,,1977-12-26T00:00:00Z,2006-02-13T00:00:00Z,IDEPT7783,
NUS12516,,,1991-04-20T00:00:00Z,2000-06-24T00:00:00Z,IDEPT5528,
NUS12517,,,1979-06-01T00:00:00Z,2001-09-02T00:00:00Z,IDEPT4670,
NUS12518,,,1970-09-11T00:00:00Z,2005-10-09T00:00:00Z,IDEPT4670,
NUS12519,,,1988-06-04T00:00:00Z,2001-09-18T00:00:00Z,IDEPT5408,
NUS12520,,,1992-02-01T00:00:00Z,2003-05-27T00:00:00Z,IDEPT5408,
NUS12521,,,1989-07-18T00:00:00Z,2010-04-08T00:00:00Z,IDEPT7626,
NUS12522,,,1976-05-16T00:00:00Z,2001-05-25T00:00:00Z,IDEPT5881,
NUS12523,,,1988-10-01T00:00:00Z,2006-01-24T00:00:00Z,IDEPT5127,
NUS12524,,,1993-07-18T00:00:00Z,2007-04-12T00:00:00Z,IDEPT1825,
NUS12525,,,1991-06-30T00:00:00Z,2007-07-26T00:00:00Z,IDEPT3868,
NUS12526,,,1973-07-29T00:00:00Z,2007-08-13T00:00:00Z,IDEPT1677,
NUS12527,,,1981-06-11T00:00:00Z,2007-05-19T00:00:00Z,IDEPT8379,
NUS12528,,,1984-12-17T00:00:00Z,2010-04-07T00:00:00Z,IDEPT1142,
NUS12529,,,1993-12-03T00:00:00Z,2001-01-12T00:00:00Z,IDEPT5127,
NUS12530,,,1969-09-30T00:00:00Z,2008-04-01T00:00:00Z,IDEPT6347,
NUS12531,,,1986-10-04T00:00:00Z,2014-01-01T00:00:00Z,IDEPT1388,
NUS12532,,,1984-11-03T00:00:00Z,2014-07-11T00:00:00Z,IDEPT1142,
NUS12533,,,1978-11-07T00:00:00Z,2013-09-09T00:00:00Z,IDEPT1533,
NUS12534,,,1983-06-13T00:00:00Z,2008-08-27T00:00:00Z,IDEPT5109,
NUS12535,,,1976-01-26T00:00:00Z,2007-07-02T00:00:00Z,IDEPT5408,
NUS12536,,,1994-05-08T00:00:00Z,2000-03-01T00:00:00Z,IDEPT3115,
NUS12537,,,1972-05-09T00:00:00Z,2001-10-26T00:00:00Z,IDEPT5109,
NUS12538,,,1971-03-13T00:00:00Z,2003-09-28T00:00:00Z,IDEPT1615,
NUS12539,,,1974-11-03T00:00:00Z,2000-03-12T00:00:00Z,IDEPT6347,
NUS12540,,,1972-12-26T00:00:00Z,2010-01-13T00:00:00Z,IDEPT2054,
NUS12541,,,1983-01-10T00:00:00Z,2014-04-13T00:00:00Z,IDEPT1825,
NUS12542,,,1980-10-29T00:00:00Z,2006-08-24T00:00:00Z,IDEPT7783,
NUS12543,,,1969-08-11T00:00:00Z,2001-08-04T00:00:00Z,IDEPT7783,
NUS12544,,,1990-01-21T00:00:00Z,2005-08-30T00:00:00Z,IDEPT2601,
NUS12545,,,1989-07-22T00:00:00Z,2009-08-01T00:00:00Z,IDEPT4132,
NUS12546,,,1982-01-31T00:00:00Z,2014-05-09T00:00:00Z,IDEPT3115,
NUS12547,,,1980-12-30T00:00:00Z,2004-02-05T00:00:00Z,IDEPT5109,
NUS12548,,,1976-01-22T00:00:00Z,2012-12-10T00:00:00Z,IDEPT4670,
NUS12549,,,1976-11-27T00:00:00Z,2011-11-14T00:00:00Z,IDEPT1533,
NUS12550,,,1993-01-20T00:00:00Z,2013-12-13T00:00:00Z,IDEPT1388,
NUS12551,,,1984-12-31T00:00:00Z,2007-10-20T00:00:00Z,IDEPT4670,
NUS12552,,,1970-03-13T00:00:00Z,2012-06-05T00:00:00Z,IDEPT3115,
NUS12553,,,1981-12-25T00:00:00Z,2010-07-09T00:00:00Z,IDEPT3062,
NUS12554,,,1992-01-21T00:00:00Z,2008-11-09T00:00:00Z,IDEPT8313,
NUS12555,,,1983-07-06T00:00:00Z,2009-08-24T00:00:00Z,IDEPT4132,
NUS12556,,,1985-05-20T00:00:00Z,2005-03-03T00:00:00Z,IDEPT3115,
NUS12557,,,1981-06-06T00:00:00Z,2006-07-20T00:00:00Z,IDEPT8379,
NUS12558,,,1986-01-08T00:00:00Z,2009-06-04T00:00:00Z,IDEPT1537,
NUS12559,,,1990-10-25T00:00:00Z,2004-03-11T00:00:00Z,IDEPT5408,
NUS12560,,,1991-10-25T00:00:00Z,2004-11-01T00:00:00Z,IDEPT3062,
NUS12561,,,1991-06-19T00:00:00Z,2009-12-02T00:00:00Z,IDEPT1142,
NUS12562,,,1977-09-03T00:00:00Z,2004-12-06T00:00:00Z,IDEPT4670,
NUS12563,,,1989-02-24T00:00:00Z,2012-10-16T00:00:00Z,IDEPT1825,
NUS12564,,,1990-10-22T00:00:00Z,2012-11-25T00:00:00Z,IDEPT5109,
NUS12565,,,1970-09-29T00:00:00Z,2013-11-03T00:00:00Z,IDEPT8379,
NUS12566,,,1984-10-04T00:00:00Z,2012-06-12T00:00:00Z,IDEPT3062,
NUS12567,,,1986-10-30T00:00:00Z,2009-03-01T00:00:00Z,IDEPT1677,
NUS12568,,,1980-06-06T00:00:00Z,2009-01-19T00:00:00Z,IDEPT4670,
NUS12569,,,1989-09-02T00:00:00Z,2012-04-24T00:00:00Z,IDEPT1537,
NUS12570,,,1990-07-11T00:00:00Z,2012-08-01T00:00:00Z,IDEPT7005,
NUS12571,,,1976-10-18T00:00:00Z,2001-01-21T00:00:00Z,IDEPT4670,
NUS12572,,,1979-06-21T00:00:00Z,1999-08-09T00:00:00Z,IDEPT4938,
NUS12573,,,1972-10-14T00:00:00Z,2006-05-19T00:00:00Z,IDEPT8598,
NUS12574,,,1983-04-04T00:00:00Z,2012-08-01T00:00:00Z,IDEPT2601,
NUS12575,,,1987-01-30T00:00:00Z,2001-07-25T00:00:00Z,IDEPT1825,
NUS12576,,,1983-12-14T00:00:00Z,2002-06-28T00:00:00Z,IDEPT4055,
NUS12577,,,1974-03-01T00:00:00Z,2005-03-12T00:00:00Z,IDEPT6347,
NUS12578,,,1989-01-21T00:00:00Z,2005-12-12T00:00:00Z,IDEPT7783,
NUS12579,,,1989-08-03T00:00:00Z,2001-01-24T00:00:00Z,IDEPT7626,
NUS12580,,,1979-05-01T00:00:00Z,2008-08-14T00:00:00Z,IDEPT1388,
NUS12581,,,1993-01-30T00:00:00Z,2013-11-12T00:00:00Z,IDEPT6347,
NUS12582,,,1975-12-12T00:00:00Z,2009-03-07T00:00:00Z,IDEPT2601,
NUS12583,,,1982-10-25T00:00:00Z,2001-02-04T00:00:00Z,IDEPT8598,
NUS12584,,,1989-05-22T00:00:00Z,2000-10-21T00:00:00Z,IDEPT3778,
NUS12585,,,1970-11-20T00:00:00Z,2009-10-10T00:00:00Z,IDEPT2601,
NUS12586,,,1988-06-19T00:00:00Z,2003-08-30T00:00:00Z,IDEPT1537,
NUS12587,,,1974-06-24T00:00:00Z,2007-06-09T00:00:00Z,IDEPT3868,
NUS12588,,,1979-05-02T00:00:00Z,2006-07-07T00:00:00Z,IDEPT3062,
NUS12589,,,1988-10-26T00:00:00Z,2011-01-31T00:00:00Z,IDEPT8379,
NUS12590,,,1984-09-15T00:00:00Z,2009-06-04T00:00:00Z,IDEPT3062,
NUS12591,,,1978-07-09T00:00:00Z,2014-05-25T00:00:00Z,IDEPT5881,
NUS12592,,,1977-03-05T00:00:00Z,2003-07-17T00:00:00Z,IDEPT1825,
NUS12593,,,1981-06-23T00:00:00Z,2013-08-23T00:00:00Z,IDEPT5881,
NUS12594,,,1973-11-12T00:00:00Z,2012-08-26T00:00:00Z,IDEPT1615,
NUS12595,,,1977-03-18T00:00:00Z,1999-09-08T00:00:00Z,IDEPT3868,
NUS12596,,,1989-12-15T00:00:00Z,2001-07-29T00:00:00Z,IDEPT5881,
NUS12597,,,1994-07-13T00:00:00Z,2011-11-16T00:00:00Z,IDEPT1142,
NUS12598,,,1982-07-16T00:00:00Z,2007-02-19T00:00:00Z,IDEPT8598,
NUS12599,,,1991-09-05T00:00:00Z,2002-10-12T00:00:00Z,IDEPT5528,
NUS12600,,,1976-09-28T00:00:00Z,2009-01-29T00:00:00Z,IDEPT8313,
NUS12601,,,1975-04-24T00:00:00Z,2012-03-17T00:00:00Z,IDEPT3778,
NUS12602,,,1969-10-24T00:00:00Z,2007-11-27T00:00:00Z,IDEPT3115,
NUS12603,,,1982-12-11T00:00:00Z,2001-05-03T00:00:00Z,IDEPT2425,
NUS12604,,,1978-09-18T00:00:00Z,2002-04-23T00:00:00Z,IDEPT7626,
NUS12605,,,1986-11-02T00:00:00Z,2009-01-19T00:00:00Z,IDEPT2054,
NUS12606,,,1977-04-27T00:00:00Z,2009-03-10T00:00:00Z,IDEPT1378,
NUS12607,,,1994-04-06T00:00:00Z,2014-03-20T00:00:00Z,IDEPT5109,
NUS12608,,,1971-11-23T00:00:00Z,2002-10-26T00:00:00Z,IDEPT3778,
NUS12609,,,1978-03-05T00:00:00Z,2005-01-14T00:00:00Z,IDEPT5127,
NUS12610,,,1980-08-31T00:00:00Z,2007-08-27T00:00:00Z,IDEPT3115,
NUS12611,,,1977-11-05T00:00:00Z,2010-08-05T00:00:00Z,IDEPT2601,
NUS12612,,,1980-02-24T00:00:00Z,2008-12-27T00:00:00Z,IDEPT2425,
NUS12613,,,1988-09-03T00:00:00Z,2011-01-25T00:00:00Z,IDEPT3778,
NUS12614,,,1976-12-11T00:00:00Z,2013-04-10T00:00:00Z,IDEPT5109,
NUS12615,,,1989-08-04T00:00:00Z,2001-05-13T00:00:00Z,IDEPT3778,
NUS12616,,,1984-03-31T00:00:00Z,2005-01-30T00:00:00Z,IDEPT8379,
NUS12617,,,1981-12-22T00:00:00Z,2009-09-27T00:00:00Z,IDEPT4938,
NUS12618,,,1987-02-18T00:00:00Z,2008-09-27T00:00:00Z,IDEPT3115,
NUS12619,,,1970-05-08T00:00:00Z,2003-11-20T00:00:00Z,IDEPT2601,
NUS12620,,,1990-04-03T00:00:00Z,2002-01-10T00:00:00Z,IDEPT7783,
NUS12621,,,1977-05-31T00:00:00Z,2007-01-01T00:00:00Z,IDEPT7626,
NUS12622,,,1989-09-14T00:00:00Z,2008-10-31T00:00:00Z,IDEPT1388,
NUS12623,,,1988-05-27T00:00:00Z,2010-01-27T00:00:00Z,IDEPT1388,
NUS12624,,,1989-06-11T00:00:00Z,2007-03-27T00:00:00Z,IDEPT1533,
NUS12625,,,1983-07-29T00:00:00Z,2013-05-11T00:00:00Z,IDEPT7626,
NUS12626,,,1992-09-30T00:00:00Z,2005-08-20T00:00:00Z,IDEPT1677,
NUS12627,,,1976-02-21T00:00:00Z,2003-10-31T00:00:00Z,IDEPT1677,
NUS12628,,,1979-05-10T00:00:00Z,2007-11-19T00:00:00Z,IDEPT1615,
NUS12629,,,1976-11-12T00:00:00Z,2003-10-16T00:00:00Z,IDEPT1423,
NUS12630,,,1989-12-25T00:00:00Z,2014-07-04T00:00:00Z,IDEPT1142,
NUS12631,,,1969-09-18T00:00:00Z,2013-08-19T00:00:00Z,IDEPT3115,
NUS12632,,,1975-03-27T00:00:00Z,2013-11-23T00:00:00Z,IDEPT2425,
NUS12633,,,1988-11-08T00:00:00Z,2008-11-24T00:00:00Z,IDEPT2425,
NUS12634,,,1975-09-15T00:00:00Z,2010-12-19T00:00:00Z,IDEPT3115,
NUS12635,,,1983-04-04T00:00:00Z,2011-02-08T00:00:00Z,IDEPT1388,
NUS12636,,,1975-10-29T00:00:00Z,2000-08-05T00:00:00Z,IDEPT7783,
NUS12637,,,1990-08-03T00:00:00Z,2006-04-22T00:00:00Z,IDEPT3778,
NUS12638,,,1979-04-30T00:00:00Z,2005-03-30T00:00:00Z,IDEPT4132,
NUS12639,,,1976-02-22T00:00:00Z,2007-10-11T00:00:00Z,IDEPT1388,
NUS12640,,,1985-03-13T00:00:00Z,2000-04-27T00:00:00Z,IDEPT4670,
