Student_Name,Matric_Number,NRIC,Year,Faculties,Major,Second_Major,Modules_Completed,Grades,Student_entities,Faculty_entities,Major_entities,Module_entities
Bradley Ferguson,A0269732Y,XXXXX952Z,2,Arts and Social Science,Geography,Business Administration,"['GES1029', 'LAR1201', 'GEX1015', 'GEC1001', 'LAL1201', 'GESS1027', 'GEH1024', 'PH2209', 'HS2911', 'PS2204', 'JS2233', 'LAL2201', 'GESS1001', 'HS1403A', 'GEC1005', 'PLB1201']","{'GES1029': 'D', 'LAR1201': 'C+', 'GEX1015': 'A+', 'GEC1001': 'C', 'LAL1201': 'A', 'GESS1027': 'D', 'GEH1024': 'F', 'PH2209': 'B', 'HS2911': 'A+', 'PS2204': 'A-', 'JS2233': 'C', 'LAL2201': 'B', 'GESS1001': 'A+', 'HS1403A': 'C', 'GEC1005': 'C', 'PLB1201': 'A'}","[('Bradley Ferguson', 'STUDENT')]","[('Arts and Social Science', 'FACULTY')]","[('Geography', 'MAJOR')]","[('GES1029', 'MODULE'), ('LAR1201', 'MODULE'), ('GEX1015', 'MODULE'), ('GEC1001', 'MODULE'), ('LAL1201', 'MODULE'), ('GESS1027', 'MODULE'), ('GEH1024', 'MODULE'), ('PH2209', 'MODULE'), ('HS2911', 'MODULE'), ('PS2204', 'MODULE'), ('JS2233', 'MODULE'), ('LAL2201', 'MODULE'), ('GESS1001', 'MODULE'), ('HS1403A', 'MODULE'), ('GEC1005', 'MODULE'), ('PLB1201', 'MODULE')]"
Jordan Fisher,A0233751L,XXXXX782Z,3,YST Conservatory of Music,Music,,"['MUA2230', 'MUA3230', 'MUA2154', 'MUA1168', 'MUT3224', 'MUA3117', 'MUA3271', 'MUA3181', 'MUA1163', 'MUA3201', 'MUA3154', 'MUT1102', 'MUA1153', 'MUA2266', 'MUA2255', 'MUA3179', 'MUA1192', 'MUT1201', 'MUA2256', 'MUA2157', 'MUA1169', 'MUA2255B', 'MUA1107', 'MUT3216']","{'MUA2230': 'F', 'MUA3230': 'A+', 'MUA2154': 'C', 'MUA1168': 'B+', 'MUT3224': 'B', 'MUA3117': 'A-', 'MUA3271': 'A', 'MUA3181': 'B', 'MUA1163': 'C+', 'MUA3201': 'A-', 'MUA3154': 'B-', 'MUT1102': 'F', 'MUA1153': 'B-', 'MUA2266': 'C', 'MUA2255': 'A-', 'MUA3179': 'B-', 'MUA1192': 'B+', 'MUT1201': 'C', 'MUA2256': 'A+', 'MUA2157': 'F', 'MUA1169': 'F', 'MUA2255B': 'B', 'MUA1107': 'B+', 'MUT3216': 'B+'}","[('Jordan Fisher', 'STUDENT')]","[('YST Conservatory of Music', 'FACULTY')]","[('Music', 'MAJOR')]","[('MUA2230', 'MODULE'), ('MUA3230', 'MODULE'), ('MUA2154', 'MODULE'), ('MUA1168', 'MODULE'), ('MUT3224', 'MODULE'), ('MUA3117', 'MODULE'), ('MUA3271', 'MODULE'), ('MUA3181', 'MODULE'), ('MUA1163', 'MODULE'), ('MUA3201', 'MODULE'), ('MUA3154', 'MODULE'), ('MUT1102', 'MODULE'), ('MUA1153', 'MODULE'), ('MUA2266', 'MODULE'), ('MUA2255', 'MODULE'), ('MUA3179', 'MODULE'), ('MUA1192', 'MODULE'), ('MUT1201', 'MODULE'), ('MUA2256', 'MODULE'), ('MUA2157', 'MODULE'), ('MUA1169', 'MODULE'), ('MUA2255B', 'MODULE'), ('MUA1107', 'MODULE'), ('MUT3216', 'MODULE')]"
Tammy Cordova,A0244623J,XXXXX947Z,1,Arts and Social Science,Geography,,"['EN1101E', 'JS1101E', 'GES1012', 'LAK1201', 'GEI1001', 'GET1025', 'GET1003', 'HSA1000']","{'EN1101E': 'B', 'JS1101E': 'F', 'GES1012': 'B+', 'LAK1201': 'C+', 'GEI1001': 'B+', 'GET1025': 'C', 'GET1003': 'B-', 'HSA1000': 'A'}","[('Tammy Cordova', 'STUDENT')]","[('Arts and Social Science', 'FACULTY')]","[('Geography', 'MAJOR')]","[('EN1101E', 'MODULE'), ('JS1101E', 'MODULE'), ('GES1012', 'MODULE'), ('LAK1201', 'MODULE'), ('GEI1001', 'MODULE'), ('GET1025', 'MODULE'), ('GET1003', 'MODULE'), ('HSA1000', 'MODULE')]"
Travis Morris,A0266359E,XXXXX710Z,1,College of Design and Engineering,Electrical Engineering,,"['GESS1011', 'EG1311', 'AR1102', 'ID1119', 'ID1121', 'EE1111B', 'CE1103', 'LAD1001']","{'GESS1011': 'A', 'EG1311': 'C', 'AR1102': 'D', 'ID1119': 'B-', 'ID1121': 'C+', 'EE1111B': 'A-', 'CE1103': 'A', 'LAD1001': 'B+'}","[('Travis Morris', 'STUDENT')]","[('College of Design and Engineering', 'FACULTY')]","[('Electrical Engineering', 'MAJOR')]","[('GESS1011', 'MODULE'), ('EG1311', 'MODULE'), ('AR1102', 'MODULE'), ('ID1119', 'MODULE'), ('ID1121', 'MODULE'), ('EE1111B', 'MODULE'), ('CE1103', 'MODULE'), ('LAD1001', 'MODULE')]"
Traci Wright,A0202478R,XXXXX242Z,4,Law,Law,,"['LL4070V', 'LL4190', 'LL4402', 'LL4377V', 'LL4029BV', 'LL4360Z', 'LC2010G', 'LL4004V', 'LL4322', 'LL4045V', 'LL4407', 'LC1002I', 'LL4251V', 'LL4383Z', 'LL4033V', 'LL4475V', 'LL4002', 'LL4031V', 'LL4438V', 'LL4096V', 'LL4219', 'LL4140V', 'LL4277V', 'LL4519', 'LL4094EV', 'LC1002J', 'LC1002B', 'LL4099', 'LL4063V', 'LL4528V', 'LL4044V', 'LC1001C']","{'LL4070V': 'B', 'LL4190': 'B-', 'LL4402': 'C', 'LL4377V': 'A+', 'LL4029BV': 'C', 'LL4360Z': 'D', 'LC2010G': 'B-', 'LL4004V': 'B+', 'LL4322': 'D', 'LL4045V': 'C+', 'LL4407': 'A', 'LC1002I': 'C+', 'LL4251V': 'C+', 'LL4383Z': 'A-', 'LL4033V': 'B-', 'LL4475V': 'A-', 'LL4002': 'B-', 'LL4031V': 'B+', 'LL4438V': 'B', 'LL4096V': 'D', 'LL4219': 'C+', 'LL4140V': 'C', 'LL4277V': 'B+', 'LL4519': 'A', 'LL4094EV': 'D', 'LC1002J': 'C+', 'LC1002B': 'B', 'LL4099': 'B', 'LL4063V': 'C+', 'LL4528V': 'B', 'LL4044V': 'A+', 'LC1001C': 'A+'}","[('Traci Wright', 'STUDENT')]","[('Law', 'FACULTY')]","[('Law', 'MAJOR')]","[('LL4070V', 'MODULE'), ('LL4190', 'MODULE'), ('LL4402', 'MODULE'), ('LL4377V', 'MODULE'), ('LL4029BV', 'MODULE'), ('LL4360Z', 'MODULE'), ('LC2010G', 'MODULE'), ('LL4004V', 'MODULE'), ('LL4322', 'MODULE'), ('LL4045V', 'MODULE'), ('LL4407', 'MODULE'), ('LC1002I', 'MODULE'), ('LL4251V', 'MODULE'), ('LL4383Z', 'MODULE'), ('LL4033V', 'MODULE'), ('LL4475V', 'MODULE'), ('LL4002', 'MODULE'), ('LL4031V', 'MODULE'), ('LL4438V', 'MODULE'), ('LL4096V', 'MODULE'), ('LL4219', 'MODULE'), ('LL4140V', 'MODULE'), ('LL4277V', 'MODULE'), ('LL4519', 'MODULE'), ('LL4094EV', 'MODULE'), ('LC1002J', 'MODULE'), ('LC1002B', 'MODULE'), ('LL4099', 'MODULE'), ('LL4063V', 'MODULE'), ('LL4528V', 'MODULE'), ('LL4044V', 'MODULE'), ('LC1001C', 'MODULE')]"
Tammy Nguyen,A0258946H,XXXXX726Z,4,NUS Business School,Business Administration,Life Science,"['FIN3139', 'ACC4751', 'BST3762', 'FIN3751', 'BSN3713', 'ACC1701D', 'MNO1706B', 'BSN3702', 'RE4712', 'DMB1204MKT', 'FIN4751', 'GESS1036', 'ACC4752', 'FSP4003', 'DMB1204MNO', 'RE3701', 'BI3001C', 'BI3002B', 'RE1901', 'ACC1701C', 'RE3000', 'DOS4751', 'FIN4752', 'BI3704C', 'RE4806', 'DBA3751', 'MKT4751', 'FIN4129', 'DMB1204DAO', 'BWS3806', 'BSE4751', 'DOS4752']","{'FIN3139': 'C', 'ACC4751': 'C', 'BST3762': 'B+', 'FIN3751': 'F', 'BSN3713': 'B-', 'ACC1701D': 'B-', 'MNO1706B': 'C+', 'BSN3702': 'B-', 'RE4712': 'B-', 'DMB1204MKT': 'C', 'FIN4751': 'A-', 'GESS1036': 'C+', 'ACC4752': 'B+', 'FSP4003': 'D', 'DMB1204MNO': 'A-', 'RE3701': 'B', 'BI3001C': 'A-', 'BI3002B': 'D', 'RE1901': 'A+', 'ACC1701C': 'A+', 'RE3000': 'B', 'DOS4751': 'B+', 'FIN4752': 'B', 'BI3704C': 'B+', 'RE4806': 'B', 'DBA3751': 'D', 'MKT4751': 'B', 'FIN4129': 'A+', 'DMB1204DAO': 'B', 'BWS3806': 'C+', 'BSE4751': 'C', 'DOS4752': 'C+'}","[('Tammy Nguyen', 'STUDENT')]","[('NUS Business School', 'FACULTY')]","[('Business Administration', 'MAJOR')]","[('FIN3139', 'MODULE'), ('ACC4751', 'MODULE'), ('BST3762', 'MODULE'), ('FIN3751', 'MODULE'), ('BSN3713', 'MODULE'), ('ACC1701D', 'MODULE'), ('MNO1706B', 'MODULE'), ('BSN3702', 'MODULE'), ('RE4712', 'MODULE'), ('DMB1204MKT', 'MODULE'), ('FIN4751', 'MODULE'), ('GESS1036', 'MODULE'), ('ACC4752', 'MODULE'), ('FSP4003', 'MODULE'), ('DMB1204MNO', 'MODULE'), ('RE3701', 'MODULE'), ('BI3001C', 'MODULE'), ('BI3002B', 'MODULE'), ('RE1901', 'MODULE'), ('ACC1701C', 'MODULE'), ('RE3000', 'MODULE'), ('DOS4751', 'MODULE'), ('FIN4752', 'MODULE'), ('BI3704C', 'MODULE'), ('RE4806', 'MODULE'), ('DBA3751', 'MODULE'), ('MKT4751', 'MODULE'), ('FIN4129', 'MODULE'), ('DMB1204DAO', 'MODULE'), ('BWS3806', 'MODULE'), ('BSE4751', 'MODULE'), ('DOS4752', 'MODULE')]"
Kristi Robinson,A0266342Y,XXXXX876Z,1,Law,Law,,"['LC1002E', 'LC1001G', 'LC1002G', 'LC1002J', 'LC1004', 'LC1002D', 'LC1002I', 'LC1001C']","{'LC1002E': 'C', 'LC1001G': 'B-', 'LC1002G': 'B', 'LC1002J': 'A', 'LC1004': 'A+', 'LC1002D': 'C+', 'LC1002I': 'D', 'LC1001C': 'C+'}","[('Kristi Robinson', 'STUDENT')]","[('Law', 'FACULTY')]","[('Law', 'MAJOR')]","[('LC1002E', 'MODULE'), ('LC1001G', 'MODULE'), ('LC1002G', 'MODULE'), ('LC1002J', 'MODULE'), ('LC1004', 'MODULE'), ('LC1002D', 'MODULE'), ('LC1002I', 'MODULE'), ('LC1001C', 'MODULE')]"
Steven Jones,A0230459A,XXXXX923Z,3,NUS Business School,Business Administration,,"['BSP1703', 'DMB1202ACC', 'MNO1706E', 'BWS3804', 'RE1901', 'BI3003A', 'DMB1204BSP', 'DMB1203DAO', 'BI3003C', 'DMB1203FIN', 'BPM1705', 'BSN3702', 'DMB1201MKT', 'MKT3714', 'DMB1204FIN', 'BWS3816', 'BSE3702', 'DMB1203DO', 'GESS1036', 'BWS3814', 'BSP1702X', 'BI3003B', 'BI3003', 'BSE3711']","{'BSP1703': 'D', 'DMB1202ACC': 'A+', 'MNO1706E': 'C+', 'BWS3804': 'B+', 'RE1901': 'B', 'BI3003A': 'A', 'DMB1204BSP': 'C+', 'DMB1203DAO': 'A', 'BI3003C': 'B+', 'DMB1203FIN': 'A+', 'BPM1705': 'A+', 'BSN3702': 'A', 'DMB1201MKT': 'C', 'MKT3714': 'D', 'DMB1204FIN': 'C', 'BWS3816': 'C', 'BSE3702': 'B', 'DMB1203DO': 'A+', 'GESS1036': 'C+', 'BWS3814': 'A-', 'BSP1702X': 'B', 'BI3003B': 'F', 'BI3003': 'F', 'BSE3711': 'C'}","[('Steven Jones', 'STUDENT')]","[('NUS Business School', 'FACULTY')]","[('Business Administration', 'MAJOR')]","[('BSP1703', 'MODULE'), ('DMB1202ACC', 'MODULE'), ('MNO1706E', 'MODULE'), ('BWS3804', 'MODULE'), ('RE1901', 'MODULE'), ('BI3003A', 'MODULE'), ('DMB1204BSP', 'MODULE'), ('DMB1203DAO', 'MODULE'), ('BI3003C', 'MODULE'), ('DMB1203FIN', 'MODULE'), ('BPM1705', 'MODULE'), ('BSN3702', 'MODULE'), ('DMB1201MKT', 'MODULE'), ('MKT3714', 'MODULE'), ('DMB1204FIN', 'MODULE'), ('BWS3816', 'MODULE'), ('BSE3702', 'MODULE'), ('DMB1203DO', 'MODULE'), ('GESS1036', 'MODULE'), ('BWS3814', 'MODULE'), ('BSP1702X', 'MODULE'), ('BI3003B', 'MODULE'), ('BI3003', 'MODULE'), ('BSE3711', 'MODULE')]"
Mark Simmons,A0213456N,XXXXX244Z,3,NUS Business School,Business Administration,,"['BI3003B', 'DMB1202DAO', 'RE3701', 'RE3000', 'DMB1204MKT', 'BI3003A', 'DMB1203BSP', 'DMB1201ACC', 'DMB1202MNO', 'DMB1204DO', 'BWS3816', 'BSN3701', 'DMB1203DAO', 'BI3712A', 'GESS1019', 'RE1901', 'MNO1706E', 'DMB1204DAO', 'MNO1706X', 'RE2706', 'DMB1203FIN', 'BI3712B', 'BI3003D', 'BSN3713']","{'BI3003B': 'F', 'DMB1202DAO': 'C', 'RE3701': 'B+', 'RE3000': 'B-', 'DMB1204MKT': 'D', 'BI3003A': 'C', 'DMB1203BSP': 'F', 'DMB1201ACC': 'A+', 'DMB1202MNO': 'A+', 'DMB1204DO': 'D', 'BWS3816': 'A-', 'BSN3701': 'A+', 'DMB1203DAO': 'B+', 'BI3712A': 'F', 'GESS1019': 'C', 'RE1901': 'C', 'MNO1706E': 'B', 'DMB1204DAO': 'B-', 'MNO1706X': 'C+', 'RE2706': 'F', 'DMB1203FIN': 'B+', 'BI3712B': 'B-', 'BI3003D': 'A', 'BSN3713': 'A-'}","[('Mark Simmons', 'STUDENT')]","[('NUS Business School', 'FACULTY')]","[('Business Administration', 'MAJOR')]","[('BI3003B', 'MODULE'), ('DMB1202DAO', 'MODULE'), ('RE3701', 'MODULE'), ('RE3000', 'MODULE'), ('DMB1204MKT', 'MODULE'), ('BI3003A', 'MODULE'), ('DMB1203BSP', 'MODULE'), ('DMB1201ACC', 'MODULE'), ('DMB1202MNO', 'MODULE'), ('DMB1204DO', 'MODULE'), ('BWS3816', 'MODULE'), ('BSN3701', 'MODULE'), ('DMB1203DAO', 'MODULE'), ('BI3712A', 'MODULE'), ('GESS1019', 'MODULE'), ('RE1901', 'MODULE'), ('MNO1706E', 'MODULE'), ('DMB1204DAO', 'MODULE'), ('MNO1706X', 'MODULE'), ('RE2706', 'MODULE'), ('DMB1203FIN', 'MODULE'), ('BI3712B', 'MODULE'), ('BI3003D', 'MODULE'), ('BSN3713', 'MODULE')]"
Amy Williams,A0276474U,XXXXX374Z,1,Science,Data Science and Economics,,"['HS1501', 'HS1402S', 'GET1020', 'PR1150', 'SP1230', 'MA1301X', 'GEH1050', 'MA1100T']","{'HS1501': 'A+', 'HS1402S': 'F', 'GET1020': 'B-', 'PR1150': 'C', 'SP1230': 'A+', 'MA1301X': 'F', 'GEH1050': 'C', 'MA1100T': 'F'}","[('Amy Williams', 'STUDENT')]","[('Science', 'FACULTY')]","[('Data Science and Economics', 'MAJOR')]","[('HS1501', 'MODULE'), ('HS1402S', 'MODULE'), ('GET1020', 'MODULE'), ('PR1150', 'MODULE'), ('SP1230', 'MODULE'), ('MA1301X', 'MODULE'), ('GEH1050', 'MODULE'), ('MA1100T', 'MODULE')]"
Jennifer Vaughn,A0274821R,XXXXX366Z,1,YST Conservatory of Music,Music,,"['GET1047', 'MUA1196', 'MUA1163', 'GEC1023', 'GEX1022', 'MUA1170', 'MUA1116', 'MUA1153']","{'GET1047': 'C+', 'MUA1196': 'B-', 'MUA1163': 'C+', 'GEC1023': 'B', 'GEX1022': 'B', 'MUA1170': 'A', 'MUA1116': 'A+', 'MUA1153': 'A+'}","[('Jennifer Vaughn', 'STUDENT')]","[('YST Conservatory of Music', 'FACULTY')]","[('Music', 'MAJOR')]","[('GET1047', 'MODULE'), ('MUA1196', 'MODULE'), ('MUA1163', 'MODULE'), ('GEC1023', 'MODULE'), ('GEX1022', 'MODULE'), ('MUA1170', 'MODULE'), ('MUA1116', 'MODULE'), ('MUA1153', 'MODULE')]"
Gary Medina,A0206366X,XXXXX716Z,1,College of Design and Engineering,Civil Engineering,,"['IPM1103', 'AR1102', 'AR1101A', 'BN1111', 'ID1300', 'ID1114', 'DTK1234A', 'ESP1111']","{'IPM1103': 'B', 'AR1102': 'C+', 'AR1101A': 'C', 'BN1111': 'F', 'ID1300': 'A', 'ID1114': 'A-', 'DTK1234A': 'B', 'ESP1111': 'B+'}","[('Gary Medina', 'STUDENT')]","[('College of Design and Engineering', 'FACULTY')]","[('Civil Engineering', 'MAJOR')]","[('IPM1103', 'MODULE'), ('AR1102', 'MODULE'), ('AR1101A', 'MODULE'), ('BN1111', 'MODULE'), ('ID1300', 'MODULE'), ('ID1114', 'MODULE'), ('DTK1234A', 'MODULE'), ('ESP1111', 'MODULE')]"
Christopher Moore,A0295549X,XXXXX567Z,2,College of Design and Engineering,Industrial Design,,"['AR2328', 'DTK1234A', 'EG2606B', 'GEC1040', 'AR1101A', 'IPM2101', 'EG2401A', 'IPM1104', 'CE2409', 'LAD1005', 'PF2102', 'PF2109', 'EE1111A', 'BN2111', 'PF2107', 'EG1311']","{'AR2328': 'C+', 'DTK1234A': 'B+', 'EG2606B': 'A', 'GEC1040': 'C+', 'AR1101A': 'C+', 'IPM2101': 'C', 'EG2401A': 'C+', 'IPM1104': 'A+', 'CE2409': 'A+', 'LAD1005': 'B+', 'PF2102': 'B', 'PF2109': 'C', 'EE1111A': 'D', 'BN2111': 'C+', 'PF2107': 'B', 'EG1311': 'B'}","[('Christopher Moore', 'STUDENT')]","[('College of Design and Engineering', 'FACULTY')]","[('Industrial Design', 'MAJOR')]","[('AR2328', 'MODULE'), ('DTK1234A', 'MODULE'), ('EG2606B', 'MODULE'), ('GEC1040', 'MODULE'), ('AR1101A', 'MODULE'), ('IPM2101', 'MODULE'), ('EG2401A', 'MODULE'), ('IPM1104', 'MODULE'), ('CE2409', 'MODULE'), ('LAD1005', 'MODULE'), ('PF2102', 'MODULE'), ('PF2109', 'MODULE'), ('EE1111A', 'MODULE'), ('BN2111', 'MODULE'), ('PF2107', 'MODULE'), ('EG1311', 'MODULE')]"
Stephanie Kim,A0227818X,XXXXX206Z,3,YST Conservatory of Music,Music,,"['MUA3224', 'MUA1107', 'MUA1111', 'MUA2109', 'MUH1101', 'CFA1101B', 'MUH3205', 'MUA1159', 'GET1047', 'MUA3260', 'CFA1111B', 'MUT1102', 'MUA3255', 'MUA2159', 'MUA2203', 'MUA3221', 'MUA1196', 'MUA3225', 'MUT3216', 'GET1019', 'MUA3154', 'MUA1172', 'MUA3188', 'MUA3133']","{'MUA3224': 'B', 'MUA1107': 'A+', 'MUA1111': 'A-', 'MUA2109': 'C', 'MUH1101': 'F', 'CFA1101B': 'B-', 'MUH3205': 'B', 'MUA1159': 'A-', 'GET1047': 'A', 'MUA3260': 'B', 'CFA1111B': 'A+', 'MUT1102': 'F', 'MUA3255': 'C', 'MUA2159': 'A', 'MUA2203': 'A+', 'MUA3221': 'A-', 'MUA1196': 'F', 'MUA3225': 'F', 'MUT3216': 'B-', 'GET1019': 'C', 'MUA3154': 'A+', 'MUA1172': 'A+', 'MUA3188': 'B', 'MUA3133': 'C+'}","[('Stephanie Kim', 'STUDENT')]","[('YST Conservatory of Music', 'FACULTY')]","[('Music', 'MAJOR')]","[('MUA3224', 'MODULE'), ('MUA1107', 'MODULE'), ('MUA1111', 'MODULE'), ('MUA2109', 'MODULE'), ('MUH1101', 'MODULE'), ('CFA1101B', 'MODULE'), ('MUH3205', 'MODULE'), ('MUA1159', 'MODULE'), ('GET1047', 'MODULE'), ('MUA3260', 'MODULE'), ('CFA1111B', 'MODULE'), ('MUT1102', 'MODULE'), ('MUA3255', 'MODULE'), ('MUA2159', 'MODULE'), ('MUA2203', 'MODULE'), ('MUA3221', 'MODULE'), ('MUA1196', 'MODULE'), ('MUA3225', 'MODULE'), ('MUT3216', 'MODULE'), ('GET1019', 'MODULE'), ('MUA3154', 'MODULE'), ('MUA1172', 'MODULE'), ('MUA3188', 'MODULE'), ('MUA3133', 'MODULE')]"
Kelly Diaz,A0259648H,XXXXX534Z,3,Computing,Computer Science,,"['CP3208', 'CP3201', 'CP3108B', 'CP3108A', 'CS1010A', 'CS2100', 'CP2106', 'CS3237', 'IT1244', 'DMC1401', 'IT3010', 'CP3106', 'CS2106', 'IS2238', 'BT1101', 'IS3221', 'BT2102', 'IS1128', 'CS2107', 'CS2040', 'CS3223', 'CS3245', 'DMC1401IS', 'CS3210']","{'CP3208': 'F', 'CP3201': 'C+', 'CP3108B': 'C', 'CP3108A': 'A', 'CS1010A': 'C+', 'CS2100': 'D', 'CP2106': 'C', 'CS3237': 'B-', 'IT1244': 'B+', 'DMC1401': 'A+', 'IT3010': 'F', 'CP3106': 'B-', 'CS2106': 'B', 'IS2238': 'A-', 'BT1101': 'A-', 'IS3221': 'A+', 'BT2102': 'B-', 'IS1128': 'D', 'CS2107': 'B', 'CS2040': 'C+', 'CS3223': 'A-', 'CS3245': 'A', 'DMC1401IS': 'A-', 'CS3210': 'B'}","[('Kelly Diaz', 'STUDENT')]","[('Computing', 'FACULTY')]","[('Computer Science', 'MAJOR')]","[('CP3208', 'MODULE'), ('CP3201', 'MODULE'), ('CP3108B', 'MODULE'), ('CP3108A', 'MODULE'), ('CS1010A', 'MODULE'), ('CS2100', 'MODULE'), ('CP2106', 'MODULE'), ('CS3237', 'MODULE'), ('IT1244', 'MODULE'), ('DMC1401', 'MODULE'), ('IT3010', 'MODULE'), ('CP3106', 'MODULE'), ('CS2106', 'MODULE'), ('IS2238', 'MODULE'), ('BT1101', 'MODULE'), ('IS3221', 'MODULE'), ('BT2102', 'MODULE'), ('IS1128', 'MODULE'), ('CS2107', 'MODULE'), ('CS2040', 'MODULE'), ('CS3223', 'MODULE'), ('CS3245', 'MODULE'), ('DMC1401IS', 'MODULE'), ('CS3210', 'MODULE')]"
Marcus Velez,A0213019N,XXXXX809Z,1,Yong Loo Lin Sch of Medicine,Nursing,,"['GEC1011', 'MIH1101', 'NUR1107B', 'ALS1010', 'NUR1114A', 'NUR1108C', 'NUR1125', 'NUR1123']","{'GEC1011': 'B+', 'MIH1101': 'A+', 'NUR1107B': 'B', 'ALS1010': 'C+', 'NUR1114A': 'D', 'NUR1108C': 'C+', 'NUR1125': 'B+', 'NUR1123': 'A-'}","[('Marcus Velez', 'STUDENT')]","[('Yong Loo Lin Sch of Medicine', 'FACULTY')]","[('Nursing', 'MAJOR')]","[('GEC1011', 'MODULE'), ('MIH1101', 'MODULE'), ('NUR1107B', 'MODULE'), ('ALS1010', 'MODULE'), ('NUR1114A', 'MODULE'), ('NUR1108C', 'MODULE'), ('NUR1125', 'MODULE'), ('NUR1123', 'MODULE')]"
Jose Harris,A0201895Z,XXXXX838Z,1,College of Design and Engineering,Civil Engineering,,"['ID1121', 'GES1019', 'ID1119', 'EG1311', 'EG1611', 'ESP1111', 'AR1101A', 'ID1118']","{'ID1121': 'C+', 'GES1019': 'B', 'ID1119': 'B-', 'EG1311': 'B', 'EG1611': 'F', 'ESP1111': 'F', 'AR1101A': 'B+', 'ID1118': 'B+'}","[('Jose Harris', 'STUDENT')]","[('College of Design and Engineering', 'FACULTY')]","[('Civil Engineering', 'MAJOR')]","[('ID1121', 'MODULE'), ('GES1019', 'MODULE'), ('ID1119', 'MODULE'), ('EG1311', 'MODULE'), ('EG1611', 'MODULE'), ('ESP1111', 'MODULE'), ('AR1101A', 'MODULE'), ('ID1118', 'MODULE')]"
Deborah Martin,A0296122M,XXXXX174Z,3,YST Conservatory of Music,Music,,"['MUA1240', 'MUA2153', 'CFA1101A', 'MUA2230', 'MUA3133', 'MUA3205', 'MUA1159', 'MUA2154', 'MUA3228', 'MUA3153', 'MUA1170', 'MUA1154', 'MUA3113', 'MUA3224', 'MUA2205', 'MUA3255', 'MUA2255A', 'MUA2255', 'MUA3117', 'GEH1060', 'MUH3203', 'MUA2203', 'MUA1192', 'MUA3201']","{'MUA1240': 'A-', 'MUA2153': 'B-', 'CFA1101A': 'A', 'MUA2230': 'B+', 'MUA3133': 'F', 'MUA3205': 'B', 'MUA1159': 'A-', 'MUA2154': 'A', 'MUA3228': 'C+', 'MUA3153': 'D', 'MUA1170': 'D', 'MUA1154': 'B+', 'MUA3113': 'D', 'MUA3224': 'D', 'MUA2205': 'A+', 'MUA3255': 'C', 'MUA2255A': 'B-', 'MUA2255': 'C', 'MUA3117': 'D', 'GEH1060': 'C+', 'MUH3203': 'B-', 'MUA2203': 'A-', 'MUA1192': 'A', 'MUA3201': 'C'}","[('Deborah Martin', 'STUDENT')]","[('YST Conservatory of Music', 'FACULTY')]","[('Music', 'MAJOR')]","[('MUA1240', 'MODULE'), ('MUA2153', 'MODULE'), ('CFA1101A', 'MODULE'), ('MUA2230', 'MODULE'), ('MUA3133', 'MODULE'), ('MUA3205', 'MODULE'), ('MUA1159', 'MODULE'), ('MUA2154', 'MODULE'), ('MUA3228', 'MODULE'), ('MUA3153', 'MODULE'), ('MUA1170', 'MODULE'), ('MUA1154', 'MODULE'), ('MUA3113', 'MODULE'), ('MUA3224', 'MODULE'), ('MUA2205', 'MODULE'), ('MUA3255', 'MODULE'), ('MUA2255A', 'MODULE'), ('MUA2255', 'MODULE'), ('MUA3117', 'MODULE'), ('GEH1060', 'MODULE'), ('MUH3203', 'MODULE'), ('MUA2203', 'MODULE'), ('MUA1192', 'MODULE'), ('MUA3201', 'MODULE')]"
Christine Taylor,A0213481A,XXXXX642Z,3,Arts and Social Science,Sociology,,"['HS2911', 'CH3295', 'CH3550', 'GEH1008', 'GE3230A', 'GEX1014', 'SN2285', 'GE3210', 'PS2238', 'HS2914', 'NM2104', 'MS3209', 'LAS1201', 'PS2266', 'HY2237', 'NM3245', 'GEH1022', 'CH3244', 'PH2204', 'NM3550C', 'GEX1004', 'NM2223', 'SW3224', 'SN3261']","{'HS2911': 'B', 'CH3295': 'F', 'CH3550': 'A', 'GEH1008': 'C', 'GE3230A': 'C+', 'GEX1014': 'F', 'SN2285': 'A-', 'GE3210': 'B', 'PS2238': 'C', 'HS2914': 'B-', 'NM2104': 'B-', 'MS3209': 'C', 'LAS1201': 'C+', 'PS2266': 'C', 'HY2237': 'A', 'NM3245': 'A+', 'GEH1022': 'A', 'CH3244': 'F', 'PH2204': 'C+', 'NM3550C': 'A+', 'GEX1004': 'B-', 'NM2223': 'C', 'SW3224': 'C', 'SN3261': 'A-'}","[('Christine Taylor', 'STUDENT')]","[('Arts and Social Science', 'FACULTY')]","[('Sociology', 'MAJOR')]","[('HS2911', 'MODULE'), ('CH3295', 'MODULE'), ('CH3550', 'MODULE'), ('GEH1008', 'MODULE'), ('GE3230A', 'MODULE'), ('GEX1014', 'MODULE'), ('SN2285', 'MODULE'), ('GE3210', 'MODULE'), ('PS2238', 'MODULE'), ('HS2914', 'MODULE'), ('NM2104', 'MODULE'), ('MS3209', 'MODULE'), ('LAS1201', 'MODULE'), ('PS2266', 'MODULE'), ('HY2237', 'MODULE'), ('NM3245', 'MODULE'), ('GEH1022', 'MODULE'), ('CH3244', 'MODULE'), ('PH2204', 'MODULE'), ('NM3550C', 'MODULE'), ('GEX1004', 'MODULE'), ('NM2223', 'MODULE'), ('SW3224', 'MODULE'), ('SN3261', 'MODULE')]"
