Employee ID,Employee Name,NRIC,DOB,DOJ,Department,Modules Taught,staff_entities,department_entities,module_entities,relationships
NUSPF12355,Bethany Allen,XXXXX950A,1985-07-13T00:00:00Z,2001-10-17T00:00:00Z,Architecture,UD5601,"[('Bethany Allen', 'STAFF')]","[('Architecture', 'DEPARTMENT')]","[('UD5601', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'UD5601', 'to_type': 'DEPARTMENT', 'to_id': 'Architecture', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'UD5601', 'to_type': 'STAFF', 'to_id': 'Bethany Allen', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Bethany Allen', 'to_type': 'DEPARTMENT', 'to_id': 'Architecture', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12356,Zachary Williams Jr.,XXXXX286A,1979-02-12T00:00:00Z,2012-02-03T00:00:00Z,Social Work,SWM5213,"[('Zachary Williams Jr.', 'STAFF')]","[('Social Work', 'DEPARTMENT')]","[('SWM5213', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'SWM5213', 'to_type': 'DEPARTMENT', 'to_id': 'Social Work', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'SWM5213', 'to_type': 'STAFF', 'to_id': 'Zachary Williams Jr.', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Zachary Williams Jr.', 'to_type': 'DEPARTMENT', 'to_id': 'Social Work', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12357,Charles Brown,XXXXX928A,1983-04-20T00:00:00Z,2006-01-01T00:00:00Z,Chemistry,CM5211,"[('Charles Brown', 'STAFF')]","[('Chemistry', 'DEPARTMENT')]","[('CM5211', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'CM5211', 'to_type': 'DEPARTMENT', 'to_id': 'Chemistry', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'CM5211', 'to_type': 'STAFF', 'to_id': 'Charles Brown', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Charles Brown', 'to_type': 'DEPARTMENT', 'to_id': 'Chemistry', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12358,James Patterson,XXXXX402A,1988-04-05T00:00:00Z,1999-08-12T00:00:00Z,Physics,PC5253,"[('James Patterson', 'STAFF')]","[('Physics', 'DEPARTMENT')]","[('PC5253', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'PC5253', 'to_type': 'DEPARTMENT', 'to_id': 'Physics', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'PC5253', 'to_type': 'STAFF', 'to_id': 'James Patterson', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'James Patterson', 'to_type': 'DEPARTMENT', 'to_id': 'Physics', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12359,Stanley Hess,XXXXX293A,1994-03-21T00:00:00Z,2011-02-16T00:00:00Z,Sociology and Anthropology,SC3204,"[('Stanley Hess', 'STAFF')]","[('Sociology and Anthropology', 'DEPARTMENT')]","[('SC3204', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'SC3204', 'to_type': 'DEPARTMENT', 'to_id': 'Sociology and Anthropology', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'SC3204', 'to_type': 'STAFF', 'to_id': 'Stanley Hess', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Stanley Hess', 'to_type': 'DEPARTMENT', 'to_id': 'Sociology and Anthropology', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12360,Olivia Lozano,XXXXX701A,1988-05-22T00:00:00Z,2007-09-23T00:00:00Z,Computer Science,CS5260,"[('Olivia Lozano', 'STAFF')]","[('Computer Science', 'DEPARTMENT')]","[('CS5260', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'CS5260', 'to_type': 'DEPARTMENT', 'to_id': 'Computer Science', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'CS5260', 'to_type': 'STAFF', 'to_id': 'Olivia Lozano', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Olivia Lozano', 'to_type': 'DEPARTMENT', 'to_id': 'Computer Science', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12361,Michele Perkins,XXXXX635A,1990-11-05T00:00:00Z,2008-08-15T00:00:00Z,Biological Sciences,LSM4242,"[('Michele Perkins', 'STAFF')]","[('Biological Sciences', 'DEPARTMENT')]","[('LSM4242', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'LSM4242', 'to_type': 'DEPARTMENT', 'to_id': 'Biological Sciences', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'LSM4242', 'to_type': 'STAFF', 'to_id': 'Michele Perkins', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Michele Perkins', 'to_type': 'DEPARTMENT', 'to_id': 'Biological Sciences', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12362,Julie Murphy,XXXXX493A,1990-07-07T00:00:00Z,2006-04-17T00:00:00Z,Biomedical Engineering,BN5212,"[('Julie Murphy', 'STAFF')]","[('Biomedical Engineering', 'DEPARTMENT')]","[('BN5212', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'BN5212', 'to_type': 'DEPARTMENT', 'to_id': 'Biomedical Engineering', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'BN5212', 'to_type': 'STAFF', 'to_id': 'Julie Murphy', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Julie Murphy', 'to_type': 'DEPARTMENT', 'to_id': 'Biomedical Engineering', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12363,John Kelly,XXXXX995A,1976-08-14T00:00:00Z,2002-08-12T00:00:00Z,Geography,CCS5206,"[('John Kelly', 'STAFF')]","[('Geography', 'DEPARTMENT')]","[('CCS5206', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'CCS5206', 'to_type': 'DEPARTMENT', 'to_id': 'Geography', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'CCS5206', 'to_type': 'STAFF', 'to_id': 'John Kelly', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'John Kelly', 'to_type': 'DEPARTMENT', 'to_id': 'Geography', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12364,Jacqueline Knight,XXXXX842A,1991-04-28T00:00:00Z,2004-07-27T00:00:00Z,Industrial Design,ID2112,"[('Jacqueline Knight', 'STAFF')]","[('Industrial Design', 'DEPARTMENT')]","[('ID2112', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'ID2112', 'to_type': 'DEPARTMENT', 'to_id': 'Industrial Design', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'ID2112', 'to_type': 'STAFF', 'to_id': 'Jacqueline Knight', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Jacqueline Knight', 'to_type': 'DEPARTMENT', 'to_id': 'Industrial Design', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12365,Susan Jimenez,XXXXX795A,1990-06-24T00:00:00Z,2006-06-09T00:00:00Z,SCALE Dean's Office,TME3122,"[('Susan Jimenez', 'STAFF')]","[(""SCALE Dean's Office"", 'DEPARTMENT')]","[('TME3122', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'TME3122', 'to_type': 'DEPARTMENT', 'to_id': ""SCALE Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'TME3122', 'to_type': 'STAFF', 'to_id': 'Susan Jimenez', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Susan Jimenez', 'to_type': 'DEPARTMENT', 'to_id': ""SCALE Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12366,Paula Evans,XXXXX602A,1974-09-09T00:00:00Z,2008-08-21T00:00:00Z,Philosophy,PH4244HM,"[('Paula Evans', 'STAFF')]","[('Philosophy', 'DEPARTMENT')]","[('PH4244HM', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'PH4244HM', 'to_type': 'DEPARTMENT', 'to_id': 'Philosophy', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'PH4244HM', 'to_type': 'STAFF', 'to_id': 'Paula Evans', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Paula Evans', 'to_type': 'DEPARTMENT', 'to_id': 'Philosophy', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12367,Phillip Martin,XXXXX338A,1975-10-06T00:00:00Z,2009-11-16T00:00:00Z,Psychology,PL1101E,"[('Phillip Martin', 'STAFF')]","[('Psychology', 'DEPARTMENT')]","[('PL1101E', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'PL1101E', 'to_type': 'DEPARTMENT', 'to_id': 'Psychology', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'PL1101E', 'to_type': 'STAFF', 'to_id': 'Phillip Martin', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Phillip Martin', 'to_type': 'DEPARTMENT', 'to_id': 'Psychology', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12368,Julie Choi,XXXXX425A,1992-03-22T00:00:00Z,2001-05-10T00:00:00Z,Duke-NUS Dean's Office,GMS5149,"[('Julie Choi', 'STAFF')]","[(""Duke-NUS Dean's Office"", 'DEPARTMENT')]","[('GMS5149', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'GMS5149', 'to_type': 'DEPARTMENT', 'to_id': ""Duke-NUS Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'GMS5149', 'to_type': 'STAFF', 'to_id': 'Julie Choi', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Julie Choi', 'to_type': 'DEPARTMENT', 'to_id': ""Duke-NUS Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12369,Robert Hawkins,XXXXX838A,1992-09-04T00:00:00Z,2006-07-09T00:00:00Z,History,HY5412,"[('Robert Hawkins', 'STAFF')]","[('History', 'DEPARTMENT')]","[('HY5412', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'HY5412', 'to_type': 'DEPARTMENT', 'to_id': 'History', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'HY5412', 'to_type': 'STAFF', 'to_id': 'Robert Hawkins', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Robert Hawkins', 'to_type': 'DEPARTMENT', 'to_id': 'History', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12370,David Maldonado,XXXXX976A,1977-07-10T00:00:00Z,2006-01-16T00:00:00Z,Duke-NUS Dean's Office,GMS5154,"[('David Maldonado', 'STAFF')]","[(""Duke-NUS Dean's Office"", 'DEPARTMENT')]","[('GMS5154', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'GMS5154', 'to_type': 'DEPARTMENT', 'to_id': ""Duke-NUS Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'GMS5154', 'to_type': 'STAFF', 'to_id': 'David Maldonado', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'David Maldonado', 'to_type': 'DEPARTMENT', 'to_id': ""Duke-NUS Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12371,Tammie Webb,XXXXX684A,1992-06-18T00:00:00Z,2010-06-21T00:00:00Z,Mathematics,MA1522,"[('Tammie Webb', 'STAFF')]","[('Mathematics', 'DEPARTMENT')]","[('MA1522', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'MA1522', 'to_type': 'DEPARTMENT', 'to_id': 'Mathematics', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'MA1522', 'to_type': 'STAFF', 'to_id': 'Tammie Webb', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Tammie Webb', 'to_type': 'DEPARTMENT', 'to_id': 'Mathematics', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12372,Jennifer Lewis,XXXXX378A,1970-10-25T00:00:00Z,2011-04-07T00:00:00Z,FoL Dean's Office,LL4452V,"[('Jennifer Lewis', 'STAFF')]","[(""FoL Dean's Office"", 'DEPARTMENT')]","[('LL4452V', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'LL4452V', 'to_type': 'DEPARTMENT', 'to_id': ""FoL Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'LL4452V', 'to_type': 'STAFF', 'to_id': 'Jennifer Lewis', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Jennifer Lewis', 'to_type': 'DEPARTMENT', 'to_id': ""FoL Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12373,Vernon Wolfe,XXXXX574A,1991-11-24T00:00:00Z,2007-04-11T00:00:00Z,NUS College Dean's Office,NHT2207,"[('Vernon Wolfe', 'STAFF')]","[(""NUS College Dean's Office"", 'DEPARTMENT')]","[('NHT2207', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'NHT2207', 'to_type': 'DEPARTMENT', 'to_id': ""NUS College Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'NHT2207', 'to_type': 'STAFF', 'to_id': 'Vernon Wolfe', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Vernon Wolfe', 'to_type': 'DEPARTMENT', 'to_id': ""NUS College Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12374,Michelle Burke,XXXXX858A,1990-04-20T00:00:00Z,1999-11-22T00:00:00Z,Mathematics,QF5214,"[('Michelle Burke', 'STAFF')]","[('Mathematics', 'DEPARTMENT')]","[('QF5214', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'QF5214', 'to_type': 'DEPARTMENT', 'to_id': 'Mathematics', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'QF5214', 'to_type': 'STAFF', 'to_id': 'Michelle Burke', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Michelle Burke', 'to_type': 'DEPARTMENT', 'to_id': 'Mathematics', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12375,Kendra Fields,XXXXX593A,1976-12-16T00:00:00Z,2008-02-05T00:00:00Z,Biological Sciences,BL5220,"[('Kendra Fields', 'STAFF')]","[('Biological Sciences', 'DEPARTMENT')]","[('BL5220', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'BL5220', 'to_type': 'DEPARTMENT', 'to_id': 'Biological Sciences', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'BL5220', 'to_type': 'STAFF', 'to_id': 'Kendra Fields', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Kendra Fields', 'to_type': 'DEPARTMENT', 'to_id': 'Biological Sciences', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12376,Heather Mcdaniel,XXXXX566A,1994-07-10T00:00:00Z,2012-03-02T00:00:00Z,LKYSPP Dean's Office,PP5904,"[('Heather Mcdaniel', 'STAFF')]","[(""LKYSPP Dean's Office"", 'DEPARTMENT')]","[('PP5904', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'PP5904', 'to_type': 'DEPARTMENT', 'to_id': ""LKYSPP Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'PP5904', 'to_type': 'STAFF', 'to_id': 'Heather Mcdaniel', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Heather Mcdaniel', 'to_type': 'DEPARTMENT', 'to_id': ""LKYSPP Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12377,Dr. Sean Davis,XXXXX471A,1991-11-10T00:00:00Z,2005-07-31T00:00:00Z,FoL Dean's Office,LL5356V,"[('Dr. Sean Davis', 'STAFF')]","[(""FoL Dean's Office"", 'DEPARTMENT')]","[('LL5356V', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'LL5356V', 'to_type': 'DEPARTMENT', 'to_id': ""FoL Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'LL5356V', 'to_type': 'STAFF', 'to_id': 'Dr. Sean Davis', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Dr. Sean Davis', 'to_type': 'DEPARTMENT', 'to_id': ""FoL Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12378,Melissa Henderson,XXXXX179A,1983-02-13T00:00:00Z,2001-09-12T00:00:00Z,FASS DO/Office of Programmes,ASP1201CH,"[('Melissa Henderson', 'STAFF')]","[('FASS DO/Office of Programmes', 'DEPARTMENT')]","[('ASP1201CH', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'ASP1201CH', 'to_type': 'DEPARTMENT', 'to_id': 'FASS DO/Office of Programmes', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'ASP1201CH', 'to_type': 'STAFF', 'to_id': 'Melissa Henderson', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Melissa Henderson', 'to_type': 'DEPARTMENT', 'to_id': 'FASS DO/Office of Programmes', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12379,Joshua Welch,XXXXX185A,1987-07-29T00:00:00Z,2006-07-24T00:00:00Z,Strategy and Policy,GESS1036,"[('Joshua Welch', 'STAFF')]","[('Strategy and Policy', 'DEPARTMENT')]","[('GESS1036', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'GESS1036', 'to_type': 'DEPARTMENT', 'to_id': 'Strategy and Policy', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'GESS1036', 'to_type': 'STAFF', 'to_id': 'Joshua Welch', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Joshua Welch', 'to_type': 'DEPARTMENT', 'to_id': 'Strategy and Policy', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12380,Eugene Mitchell,XXXXX933A,1971-07-26T00:00:00Z,2005-03-20T00:00:00Z,Computer Science,CS5239,"[('Eugene Mitchell', 'STAFF')]","[('Computer Science', 'DEPARTMENT')]","[('CS5239', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'CS5239', 'to_type': 'DEPARTMENT', 'to_id': 'Computer Science', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'CS5239', 'to_type': 'STAFF', 'to_id': 'Eugene Mitchell', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Eugene Mitchell', 'to_type': 'DEPARTMENT', 'to_id': 'Computer Science', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12381,Alisha Browning,XXXXX986A,1970-01-24T00:00:00Z,2006-04-12T00:00:00Z,Duke-NUS Dean's Office,GMS5004,"[('Alisha Browning', 'STAFF')]","[(""Duke-NUS Dean's Office"", 'DEPARTMENT')]","[('GMS5004', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'GMS5004', 'to_type': 'DEPARTMENT', 'to_id': ""Duke-NUS Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'GMS5004', 'to_type': 'STAFF', 'to_id': 'Alisha Browning', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Alisha Browning', 'to_type': 'DEPARTMENT', 'to_id': ""Duke-NUS Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
