Employee_ID,Employee_Name,NRIC,DOB,DOJ,Department_ID,Modules_Taught,Staff_entities,Department_entities,Module_entities,Relationships
NUSPF12355,Bethany Allen,XXXXX950A,1985-07-13T00:00:00Z,2001-10-17T00:00:00Z,Architecture,UD5601,"[('Bethany Allen', 'STAFF')]","[('Architecture', 'DEPARTMENT')]","[('UD5601', 'MODULE')]",
NUSPF12356,Zachary Williams Jr.,XXXXX286A,1979-02-12T00:00:00Z,2012-02-03T00:00:00Z,Social Work,SWM5213,"[('Zachary Williams Jr.', 'STAFF')]","[('Social Work', 'DEPARTMENT')]","[('SWM5213', 'MODULE')]",
NUSPF12357,Charles Brown,XXXXX928A,1983-04-20T00:00:00Z,2006-01-01T00:00:00Z,Chemistry,CM5211,"[('Charles Brown', 'STAFF')]","[('Chemistry', 'DEPARTMENT')]","[('CM5211', 'MODULE')]",
NUSPF12358,James Patterson,XXXXX402A,1988-04-05T00:00:00Z,1999-08-12T00:00:00Z,Physics,PC5253,"[('James Patterson', 'STAFF')]","[('Physics', 'DEPARTMENT')]","[('PC5253', 'MODULE')]",
NUSPF12359,Stanley Hess,XXXXX293A,1994-03-21T00:00:00Z,2011-02-16T00:00:00Z,Sociology and Anthropology,SC3204,"[('Stanley Hess', 'STAFF')]","[('Sociology and Anthropology', 'DEPARTMENT')]","[('SC3204', 'MODULE')]",
NUSPF12360,Olivia Lozano,XXXXX701A,1988-05-22T00:00:00Z,2007-09-23T00:00:00Z,Computer Science,CS5260,"[('Olivia Lozano', 'STAFF')]","[('Computer Science', 'DEPARTMENT')]","[('CS5260', 'MODULE')]",
NUSPF12361,Michele Perkins,XXXXX635A,1990-11-05T00:00:00Z,2008-08-15T00:00:00Z,Biological Sciences,LSM4242,"[('Michele Perkins', 'STAFF')]","[('Biological Sciences', 'DEPARTMENT')]","[('LSM4242', 'MODULE')]",
NUSPF12362,Julie Murphy,XXXXX493A,1990-07-07T00:00:00Z,2006-04-17T00:00:00Z,Biomedical Engineering,BN5212,"[('Julie Murphy', 'STAFF')]","[('Biomedical Engineering', 'DEPARTMENT')]","[('BN5212', 'MODULE')]",
NUSPF12363,John Kelly,XXXXX995A,1976-08-14T00:00:00Z,2002-08-12T00:00:00Z,Geography,CCS5206,"[('John Kelly', 'STAFF')]","[('Geography', 'DEPARTMENT')]","[('CCS5206', 'MODULE')]",
NUSPF12364,Jacqueline Knight,XXXXX842A,1991-04-28T00:00:00Z,2004-07-27T00:00:00Z,Industrial Design,ID2112,"[('Jacqueline Knight', 'STAFF')]","[('Industrial Design', 'DEPARTMENT')]","[('ID2112', 'MODULE')]",
NUSPF12365,Susan Jimenez,XXXXX795A,1990-06-24T00:00:00Z,2006-06-09T00:00:00Z,SCALE Dean's Office,TME3122,"[('Susan Jimenez', 'STAFF')]","[(""SCALE Dean's Office"", 'DEPARTMENT')]","[('TME3122', 'MODULE')]",
NUSPF12366,Paula Evans,XXXXX602A,1974-09-09T00:00:00Z,2008-08-21T00:00:00Z,Philosophy,PH4244HM,"[('Paula Evans', 'STAFF')]","[('Philosophy', 'DEPARTMENT')]","[('PH4244HM', 'MODULE')]",
NUSPF12367,Phillip Martin,XXXXX338A,1975-10-06T00:00:00Z,2009-11-16T00:00:00Z,Psychology,PL1101E,"[('Phillip Martin', 'STAFF')]","[('Psychology', 'DEPARTMENT')]","[('PL1101E', 'MODULE')]",
NUSPF12368,Julie Choi,XXXXX425A,1992-03-22T00:00:00Z,2001-05-10T00:00:00Z,Duke-NUS Dean's Office,GMS5149,"[('Julie Choi', 'STAFF')]","[(""Duke-NUS Dean's Office"", 'DEPARTMENT')]","[('GMS5149', 'MODULE')]",
NUSPF12369,Robert Hawkins,XXXXX838A,1992-09-04T00:00:00Z,2006-07-09T00:00:00Z,History,HY5412,"[('Robert Hawkins', 'STAFF')]","[('History', 'DEPARTMENT')]","[('HY5412', 'MODULE')]",
NUSPF12370,David Maldonado,XXXXX976A,1977-07-10T00:00:00Z,2006-01-16T00:00:00Z,Duke-NUS Dean's Office,GMS5154,"[('David Maldonado', 'STAFF')]","[(""Duke-NUS Dean's Office"", 'DEPARTMENT')]","[('GMS5154', 'MODULE')]",
NUSPF12371,Tammie Webb,XXXXX684A,1992-06-18T00:00:00Z,2010-06-21T00:00:00Z,Mathematics,MA1522,"[('Tammie Webb', 'STAFF')]","[('Mathematics', 'DEPARTMENT')]","[('MA1522', 'MODULE')]",
NUSPF12372,Jennifer Lewis,XXXXX378A,1970-10-25T00:00:00Z,2011-04-07T00:00:00Z,FoL Dean's Office,LL4452V,"[('Jennifer Lewis', 'STAFF')]","[(""FoL Dean's Office"", 'DEPARTMENT')]","[('LL4452V', 'MODULE')]",
NUSPF12373,Vernon Wolfe,XXXXX574A,1991-11-24T00:00:00Z,2007-04-11T00:00:00Z,NUS College Dean's Office,NHT2207,"[('Vernon Wolfe', 'STAFF')]","[(""NUS College Dean's Office"", 'DEPARTMENT')]","[('NHT2207', 'MODULE')]",
NUSPF12374,Michelle Burke,XXXXX858A,1990-04-20T00:00:00Z,1999-11-22T00:00:00Z,Mathematics,QF5214,"[('Michelle Burke', 'STAFF')]","[('Mathematics', 'DEPARTMENT')]","[('QF5214', 'MODULE')]",
NUSPF12375,Kendra Fields,XXXXX593A,1976-12-16T00:00:00Z,2008-02-05T00:00:00Z,Biological Sciences,BL5220,"[('Kendra Fields', 'STAFF')]","[('Biological Sciences', 'DEPARTMENT')]","[('BL5220', 'MODULE')]",
NUSPF12376,Heather Mcdaniel,XXXXX566A,1994-07-10T00:00:00Z,2012-03-02T00:00:00Z,LKYSPP Dean's Office,PP5904,"[('Heather Mcdaniel', 'STAFF')]","[(""LKYSPP Dean's Office"", 'DEPARTMENT')]","[('PP5904', 'MODULE')]",
NUSPF12377,Dr. Sean Davis,XXXXX471A,1991-11-10T00:00:00Z,2005-07-31T00:00:00Z,FoL Dean's Office,LL5356V,"[('Dr. Sean Davis', 'STAFF')]","[(""FoL Dean's Office"", 'DEPARTMENT')]","[('LL5356V', 'MODULE')]",
NUSPF12378,Melissa Henderson,XXXXX179A,1983-02-13T00:00:00Z,2001-09-12T00:00:00Z,FASS DO/Office of Programmes,ASP1201CH,"[('Melissa Henderson', 'STAFF')]","[('FASS DO/Office of Programmes', 'DEPARTMENT')]","[('ASP1201CH', 'MODULE')]",
NUSPF12379,Joshua Welch,XXXXX185A,1987-07-29T00:00:00Z,2006-07-24T00:00:00Z,Strategy and Policy,GESS1036,"[('Joshua Welch', 'STAFF')]","[('Strategy and Policy', 'DEPARTMENT')]","[('GESS1036', 'MODULE')]",
NUSPF12380,Eugene Mitchell,XXXXX933A,1971-07-26T00:00:00Z,2005-03-20T00:00:00Z,Computer Science,CS5239,"[('Eugene Mitchell', 'STAFF')]","[('Computer Science', 'DEPARTMENT')]","[('CS5239', 'MODULE')]",
NUSPF12381,Alisha Browning,XXXXX986A,1970-01-24T00:00:00Z,2006-04-12T00:00:00Z,Duke-NUS Dean's Office,GMS5004,"[('Alisha Browning', 'STAFF')]","[(""Duke-NUS Dean's Office"", 'DEPARTMENT')]","[('GMS5004', 'MODULE')]",
NUSPF12382,Tracy Brown,XXXXX515A,1974-05-17T00:00:00Z,2012-10-31T00:00:00Z,Malay Studies,MS4880B,"[('Tracy Brown', 'STAFF')]","[('Malay Studies', 'DEPARTMENT')]","[('MS4880B', 'MODULE')]",
NUSPF12383,Jessica Evans,XXXXX909A,1984-03-29T00:00:00Z,2014-06-22T00:00:00Z,CDE Dean's Office,CDE2701B,"[('Jessica Evans', 'STAFF')]","[(""CDE Dean's Office"", 'DEPARTMENT')]","[('CDE2701B', 'MODULE')]",
NUSPF12384,Edward Chang,XXXXX297A,1974-03-20T00:00:00Z,2000-03-03T00:00:00Z,Residential College 4,UTC2730,"[('Edward Chang', 'STAFF')]","[('Residential College 4', 'DEPARTMENT')]","[('UTC2730', 'MODULE')]",
NUSPF12385,Carlos Murphy,XXXXX888A,1983-10-13T00:00:00Z,1999-07-30T00:00:00Z,SCALE Dean's Office,TCX1101,"[('Carlos Murphy', 'STAFF')]","[(""SCALE Dean's Office"", 'DEPARTMENT')]","[('TCX1101', 'MODULE')]",
NUSPF12386,Samantha Anderson,XXXXX666A,1978-12-25T00:00:00Z,2010-08-27T00:00:00Z,YSTCM Dean's Office,MUA3266,"[('Samantha Anderson', 'STAFF')]","[(""YSTCM Dean's Office"", 'DEPARTMENT')]","[('MUA3266', 'MODULE')]",
NUSPF12387,Richard Johnson,XXXXX266A,1983-06-07T00:00:00Z,2005-09-16T00:00:00Z,Alice Lee Center for Nursing Studies,NUR2441A,"[('Richard Johnson', 'STAFF')]","[('Alice Lee Center for Nursing Studies', 'DEPARTMENT')]","[('NUR2441A', 'MODULE')]",
NUSPF12388,Melissa Adams,XXXXX962A,1985-01-15T00:00:00Z,2000-11-29T00:00:00Z,Southeast Asian Studies,SE3551,"[('Melissa Adams', 'STAFF')]","[('Southeast Asian Studies', 'DEPARTMENT')]","[('SE3551', 'MODULE')]",
NUSPF12389,David Keller,XXXXX193A,1974-05-05T00:00:00Z,2006-12-01T00:00:00Z,Architecture,DEP5110,"[('David Keller', 'STAFF')]","[('Architecture', 'DEPARTMENT')]","[('DEP5110', 'MODULE')]",
NUSPF12390,Kathryn Allen,XXXXX350A,1971-05-04T00:00:00Z,2002-06-28T00:00:00Z,PharmacyandPharmaceuticalScience,PR2150,"[('Kathryn Allen', 'STAFF')]","[('PharmacyandPharmaceuticalScience', 'DEPARTMENT')]","[('PR2150', 'MODULE')]",
NUSPF12391,Laura Garrison,XXXXX248A,1993-04-12T00:00:00Z,2011-11-06T00:00:00Z,Architecture,AR2522,"[('Laura Garrison', 'STAFF')]","[('Architecture', 'DEPARTMENT')]","[('AR2522', 'MODULE')]",
NUSPF12392,Stephen Tyler,XXXXX412A,1988-11-13T00:00:00Z,2013-06-20T00:00:00Z,Economics,EC4302,"[('Stephen Tyler', 'STAFF')]","[('Economics', 'DEPARTMENT')]","[('EC4302', 'MODULE')]",
NUSPF12393,Tammy Hart,XXXXX657A,1980-09-18T00:00:00Z,2010-04-03T00:00:00Z,SSH School of Public Health Dean's Office,SPH5890B,"[('Tammy Hart', 'STAFF')]","[(""SSH School of Public Health Dean's Office"", 'DEPARTMENT')]","[('SPH5890B', 'MODULE')]",
NUSPF12394,Thomas Alvarez,XXXXX553A,1986-09-24T00:00:00Z,2006-12-02T00:00:00Z,Strategy and Policy,BSP1703,"[('Thomas Alvarez', 'STAFF')]","[('Strategy and Policy', 'DEPARTMENT')]","[('BSP1703', 'MODULE')]",
NUSPF12395,David Cohen,XXXXX759A,1973-11-07T00:00:00Z,2011-05-14T00:00:00Z,English,ENC5253,"[('David Cohen', 'STAFF')]","[('English', 'DEPARTMENT')]","[('ENC5253', 'MODULE')]",
NUSPF12396,Matthew Williams,XXXXX450A,1975-03-28T00:00:00Z,2013-03-15T00:00:00Z,Materials Science and Engineering,MLE5101,"[('Matthew Williams', 'STAFF')]","[('Materials Science and Engineering', 'DEPARTMENT')]","[('MLE5101', 'MODULE')]",
NUSPF12397,Joshua Fox,XXXXX962A,1987-02-20T00:00:00Z,2005-09-11T00:00:00Z,Japanese Studies,JS4230HM,"[('Joshua Fox', 'STAFF')]","[('Japanese Studies', 'DEPARTMENT')]","[('JS4230HM', 'MODULE')]",
NUSPF12398,Christopher Chung,XXXXX798A,1976-02-23T00:00:00Z,2012-02-03T00:00:00Z,Civil and Environmental Engineering,CE5611QA,"[('Christopher Chung', 'STAFF')]","[('Civil and Environmental Engineering', 'DEPARTMENT')]","[('CE5611QA', 'MODULE')]",
NUSPF12399,Jennifer Williams,XXXXX179A,1983-04-29T00:00:00Z,2014-06-01T00:00:00Z,Electrical and Computer Engineering,EE6990,"[('Jennifer Williams', 'STAFF')]","[('Electrical and Computer Engineering', 'DEPARTMENT')]","[('EE6990', 'MODULE')]",
NUSPF12400,Mason Thomas,XXXXX535A,1976-10-05T00:00:00Z,2010-02-25T00:00:00Z,Civil and Environmental Engineering,ESE5202,"[('Mason Thomas', 'STAFF')]","[('Civil and Environmental Engineering', 'DEPARTMENT')]","[('ESE5202', 'MODULE')]",
NUSPF12401,Jonathan Larsen,XXXXX335A,1984-06-20T00:00:00Z,2007-02-23T00:00:00Z,Physics,PC2174A,"[('Jonathan Larsen', 'STAFF')]","[('Physics', 'DEPARTMENT')]","[('PC2174A', 'MODULE')]",
NUSPF12402,Robert Johnson,XXXXX799A,1987-10-28T00:00:00Z,2014-07-12T00:00:00Z,Engineering Science Programme,ESP2107,"[('Robert Johnson', 'STAFF')]","[('Engineering Science Programme', 'DEPARTMENT')]","[('ESP2107', 'MODULE')]",
NUSPF12403,Troy Mitchell DVM,XXXXX529A,1971-10-24T00:00:00Z,2004-11-18T00:00:00Z,FoL Dean's Office,LC5074,"[('Troy Mitchell DVM', 'STAFF')]","[(""FoL Dean's Office"", 'DEPARTMENT')]","[('LC5074', 'MODULE')]",
NUSPF12404,Joe Carter,XXXXX954A,1984-05-15T00:00:00Z,2006-01-06T00:00:00Z,Electrical and Computer Engineering,EE6135,"[('Joe Carter', 'STAFF')]","[('Electrical and Computer Engineering', 'DEPARTMENT')]","[('EE6135', 'MODULE')]",
NUSPF12405,Jenny Allison,XXXXX960A,1972-12-26T00:00:00Z,2007-02-08T00:00:00Z,Industrial Systems Engineering and Management,IE5108,"[('Jenny Allison', 'STAFF')]","[('Industrial Systems Engineering and Management', 'DEPARTMENT')]","[('IE5108', 'MODULE')]",
NUSPF12406,Michael Barnes,XXXXX163A,1988-08-19T00:00:00Z,2002-09-28T00:00:00Z,Duke-NUS Dean's Office,GMS5224,"[('Michael Barnes', 'STAFF')]","[(""Duke-NUS Dean's Office"", 'DEPARTMENT')]","[('GMS5224', 'MODULE')]",
NUSPF12407,Brian Good,XXXXX389A,1979-11-30T00:00:00Z,2008-03-13T00:00:00Z,FoL Dean's Office,LL4029BV,"[('Brian Good', 'STAFF')]","[(""FoL Dean's Office"", 'DEPARTMENT')]","[('LL4029BV', 'MODULE')]",
NUSPF12408,Jeff Waters,XXXXX171A,1976-06-15T00:00:00Z,2000-05-15T00:00:00Z,Electrical and Computer Engineering,EEK5104,"[('Jeff Waters', 'STAFF')]","[('Electrical and Computer Engineering', 'DEPARTMENT')]","[('EEK5104', 'MODULE')]",
NUSPF12409,Tonya Bennett,XXXXX971A,1973-07-05T00:00:00Z,2007-02-19T00:00:00Z,English,GESS1021,"[('Tonya Bennett', 'STAFF')]","[('English', 'DEPARTMENT')]","[('GESS1021', 'MODULE')]",
NUSPF12410,Nathan Davis,XXXXX419A,1994-04-20T00:00:00Z,2004-03-09T00:00:00Z,Chinese Studies,CH5660,"[('Nathan Davis', 'STAFF')]","[('Chinese Studies', 'DEPARTMENT')]","[('CH5660', 'MODULE')]",
NUSPF12411,Erica Moore,XXXXX214A,1983-11-12T00:00:00Z,2006-02-07T00:00:00Z,Yale-NUS College,YIR3316G,"[('Erica Moore', 'STAFF')]","[('Yale-NUS College', 'DEPARTMENT')]","[('YIR3316G', 'MODULE')]",
NUSPF12412,Billy Hunter,XXXXX179A,1986-08-20T00:00:00Z,2001-11-13T00:00:00Z,Communications and New Media,ACE5480,"[('Billy Hunter', 'STAFF')]","[('Communications and New Media', 'DEPARTMENT')]","[('ACE5480', 'MODULE')]",
NUSPF12413,Annette Miller,XXXXX211A,1993-03-12T00:00:00Z,2009-06-16T00:00:00Z,Chemistry,CM5100,"[('Annette Miller', 'STAFF')]","[('Chemistry', 'DEPARTMENT')]","[('CM5100', 'MODULE')]",
NUSPF12414,Michael Smith,XXXXX594A,1975-01-23T00:00:00Z,2011-02-28T00:00:00Z,Economics,ECA5335,"[('Michael Smith', 'STAFF')]","[('Economics', 'DEPARTMENT')]","[('ECA5335', 'MODULE')]",
NUSPF12415,Christopher Cox,XXXXX278A,1975-11-01T00:00:00Z,2006-11-15T00:00:00Z,Civil and Environmental Engineering,CE5805QB,"[('Christopher Cox', 'STAFF')]","[('Civil and Environmental Engineering', 'DEPARTMENT')]","[('CE5805QB', 'MODULE')]",
NUSPF12416,Jose Wallace,XXXXX717A,1971-09-08T00:00:00Z,2013-10-04T00:00:00Z,SCALE Dean's Office,TBA2101,"[('Jose Wallace', 'STAFF')]","[(""SCALE Dean's Office"", 'DEPARTMENT')]","[('TBA2101', 'MODULE')]",
NUSPF12417,Andrea Glass,XXXXX979A,1970-07-07T00:00:00Z,2005-10-05T00:00:00Z,SSH School of Public Health Dean's Office,SPH5890D,"[('Andrea Glass', 'STAFF')]","[(""SSH School of Public Health Dean's Office"", 'DEPARTMENT')]","[('SPH5890D', 'MODULE')]",
NUSPF12418,Vanessa Valencia,XXXXX385A,1990-09-16T00:00:00Z,2010-02-02T00:00:00Z,Physics,PC5101,"[('Vanessa Valencia', 'STAFF')]","[('Physics', 'DEPARTMENT')]","[('PC5101', 'MODULE')]",
NUSPF12419,Thomas Sparks,XXXXX181A,1970-12-15T00:00:00Z,2007-09-26T00:00:00Z,Biological Sciences,BL5602,"[('Thomas Sparks', 'STAFF')]","[('Biological Sciences', 'DEPARTMENT')]","[('BL5602', 'MODULE')]",
NUSPF12420,Jonathan Shelton,XXXXX531A,1985-10-13T00:00:00Z,2009-08-29T00:00:00Z,Biomedical Engineering,BN5516,"[('Jonathan Shelton', 'STAFF')]","[('Biomedical Engineering', 'DEPARTMENT')]","[('BN5516', 'MODULE')]",
NUSPF12421,Morgan Clarke,XXXXX149A,1970-12-08T00:00:00Z,2004-12-12T00:00:00Z,Marketing,MKT3716,"[('Morgan Clarke', 'STAFF')]","[('Marketing', 'DEPARTMENT')]","[('MKT3716', 'MODULE')]",
NUSPF12422,Heather Richards,XXXXX771A,1982-02-13T00:00:00Z,2011-05-28T00:00:00Z,Industrial Systems Engineering and Management,IE5206,"[('Heather Richards', 'STAFF')]","[('Industrial Systems Engineering and Management', 'DEPARTMENT')]","[('IE5206', 'MODULE')]",
NUSPF12423,Anita Smith,XXXXX394A,1982-08-12T00:00:00Z,2013-01-29T00:00:00Z,FoL Dean's Office,LL6528V,"[('Anita Smith', 'STAFF')]","[(""FoL Dean's Office"", 'DEPARTMENT')]","[('LL6528V', 'MODULE')]",
NUSPF12424,Latoya Lopez,XXXXX263A,1980-02-14T00:00:00Z,2006-07-08T00:00:00Z,Office of the Provost,DMX1401AI,"[('Latoya Lopez', 'STAFF')]","[('Office of the Provost', 'DEPARTMENT')]","[('DMX1401AI', 'MODULE')]",
NUSPF12425,Crystal Meyers,XXXXX125A,1982-09-07T00:00:00Z,2003-09-21T00:00:00Z,Information Systems and Analytics,IS4231,"[('Crystal Meyers', 'STAFF')]","[('Information Systems and Analytics', 'DEPARTMENT')]","[('IS4231', 'MODULE')]",
NUSPF12426,Alexander Garrett,XXXXX134A,1981-01-11T00:00:00Z,2011-08-11T00:00:00Z,Political Science,PS4660HM,"[('Alexander Garrett', 'STAFF')]","[('Political Science', 'DEPARTMENT')]","[('PS4660HM', 'MODULE')]",
NUSPF12427,Donna Molina,XXXXX279A,1989-09-29T00:00:00Z,2009-04-24T00:00:00Z,BIZ Dean's Office,BMG5202,"[('Donna Molina', 'STAFF')]","[(""BIZ Dean's Office"", 'DEPARTMENT')]","[('BMG5202', 'MODULE')]",
NUSPF12428,Ethan Orr,XXXXX196A,1985-09-08T00:00:00Z,2009-06-09T00:00:00Z,FoL Dean's Office,LL6525,"[('Ethan Orr', 'STAFF')]","[(""FoL Dean's Office"", 'DEPARTMENT')]","[('LL6525', 'MODULE')]",
NUSPF12429,Judy Henry,XXXXX745A,1978-05-13T00:00:00Z,2001-01-31T00:00:00Z,Statistics and Data Science,ST2312,"[('Judy Henry', 'STAFF')]","[('Statistics and Data Science', 'DEPARTMENT')]","[('ST2312', 'MODULE')]",
NUSPF12430,Chad Rogers,XXXXX369A,1991-06-20T00:00:00Z,2008-10-03T00:00:00Z,NUS College Dean's Office,GEA1000N,"[('Chad Rogers', 'STAFF')]","[(""NUS College Dean's Office"", 'DEPARTMENT')]","[('GEA1000N', 'MODULE')]",
NUSPF12431,Ryan Skinner,XXXXX491A,1982-01-26T00:00:00Z,2011-04-27T00:00:00Z,CDE Dean's Office,CDE5301,"[('Ryan Skinner', 'STAFF')]","[(""CDE Dean's Office"", 'DEPARTMENT')]","[('CDE5301', 'MODULE')]",
NUSPF12432,Alison Schmidt,XXXXX203A,1991-06-10T00:00:00Z,2010-06-06T00:00:00Z,History,HY2262,"[('Alison Schmidt', 'STAFF')]","[('History', 'DEPARTMENT')]","[('HY2262', 'MODULE')]",
NUSPF12433,Elizabeth Walker,XXXXX141A,1986-06-26T00:00:00Z,2012-04-25T00:00:00Z,Food Science and Technology,FST4312,"[('Elizabeth Walker', 'STAFF')]","[('Food Science and Technology', 'DEPARTMENT')]","[('FST4312', 'MODULE')]",
NUSPF12434,Dustin Lowe,XXXXX334A,1975-04-11T00:00:00Z,2011-04-28T00:00:00Z,Information Systems and Analytics,BT4013,"[('Dustin Lowe', 'STAFF')]","[('Information Systems and Analytics', 'DEPARTMENT')]","[('BT4013', 'MODULE')]",
NUSPF12435,Russell Sherman,XXXXX789A,1991-12-17T00:00:00Z,2008-05-15T00:00:00Z,Biological Sciences,BL5323,"[('Russell Sherman', 'STAFF')]","[('Biological Sciences', 'DEPARTMENT')]","[('BL5323', 'MODULE')]",
NUSPF12436,Michael Williams,XXXXX161A,1981-08-15T00:00:00Z,2009-06-17T00:00:00Z,Chinese Studies,CHC5305,"[('Michael Williams', 'STAFF')]","[('Chinese Studies', 'DEPARTMENT')]","[('CHC5305', 'MODULE')]",
NUSPF12437,Antonio Ochoa,XXXXX411A,1975-10-23T00:00:00Z,2008-05-17T00:00:00Z,Philosophy,PH3218,"[('Antonio Ochoa', 'STAFF')]","[('Philosophy', 'DEPARTMENT')]","[('PH3218', 'MODULE')]",
NUSPF12438,Aaron Williams,XXXXX961A,1969-08-20T00:00:00Z,2014-05-14T00:00:00Z,Marketing,BMK6111V,"[('Aaron Williams', 'STAFF')]","[('Marketing', 'DEPARTMENT')]","[('BMK6111V', 'MODULE')]",
NUSPF12439,Tom Morgan,XXXXX424A,1976-06-27T00:00:00Z,2001-06-14T00:00:00Z,Analytics and Operations,DOS5104,"[('Tom Morgan', 'STAFF')]","[('Analytics and Operations', 'DEPARTMENT')]","[('DOS5104', 'MODULE')]",
NUSPF12440,Edwin Kelley,XXXXX591A,1976-12-13T00:00:00Z,2007-04-09T00:00:00Z,Computer Science,IFS4205,"[('Edwin Kelley', 'STAFF')]","[('Computer Science', 'DEPARTMENT')]","[('IFS4205', 'MODULE')]",
NUSPF12441,Denise Freeman,XXXXX426A,1982-02-18T00:00:00Z,2008-07-22T00:00:00Z,Biological Sciences,LSM3243,"[('Denise Freeman', 'STAFF')]","[('Biological Sciences', 'DEPARTMENT')]","[('LSM3243', 'MODULE')]",
NUSPF12442,Audrey Adams,XXXXX284A,1986-02-02T00:00:00Z,2000-07-23T00:00:00Z,BIZ Dean's Office,BME5042,"[('Audrey Adams', 'STAFF')]","[(""BIZ Dean's Office"", 'DEPARTMENT')]","[('BME5042', 'MODULE')]",
NUSPF12443,David Martin,XXXXX312A,1986-12-12T00:00:00Z,2003-12-04T00:00:00Z,Chemistry,CM3254,"[('David Martin', 'STAFF')]","[('Chemistry', 'DEPARTMENT')]","[('CM3254', 'MODULE')]",
NUSPF12444,Kylie Rivera,XXXXX808A,1985-01-17T00:00:00Z,1999-12-14T00:00:00Z,Centre for Language Studies,LAS2201,"[('Kylie Rivera', 'STAFF')]","[('Centre for Language Studies', 'DEPARTMENT')]","[('LAS2201', 'MODULE')]",
NUSPF12445,Nicholas Ellis,XXXXX946A,1977-09-02T00:00:00Z,2014-05-13T00:00:00Z,Centre for Language Studies,LAB3201,"[('Nicholas Ellis', 'STAFF')]","[('Centre for Language Studies', 'DEPARTMENT')]","[('LAB3201', 'MODULE')]",
NUSPF12446,April Miller,XXXXX664A,1972-11-30T00:00:00Z,2003-05-27T00:00:00Z,Information Systems and Analytics,IS5116,"[('April Miller', 'STAFF')]","[('Information Systems and Analytics', 'DEPARTMENT')]","[('IS5116', 'MODULE')]",
NUSPF12447,Christina Clay,XXXXX600A,1976-08-19T00:00:00Z,2008-08-14T00:00:00Z,Electrical and Computer Engineering,EE4437,"[('Christina Clay', 'STAFF')]","[('Electrical and Computer Engineering', 'DEPARTMENT')]","[('EE4437', 'MODULE')]",
NUSPF12448,Maria White,XXXXX130A,1985-10-16T00:00:00Z,2001-07-31T00:00:00Z,Economics,EC6101,"[('Maria White', 'STAFF')]","[('Economics', 'DEPARTMENT')]","[('EC6101', 'MODULE')]",
