Student_Name,Matric_Number,NRIC,Year,Faculties,Major,Second Major,Modules_Completed,Grades
Stephanie Brown,A0263596J,XXXXX949Z,1,YST Conservatory of Music,Music,,"['GEX1022', 'MUT1201', 'GES1020', 'MUA1154', 'MUA1161', 'MUA1170', 'MUA1109', 'GEX1027']","{'GEX1022': 'B-', 'MUT1201': 'B+', 'GES1020': 'B', 'MUA1154': 'A-', 'MUA1161': 'B', 'MUA1170': 'D', 'MUA1109': 'A', 'GEX1027': 'C'}"
Mackenzie Myers,A0234825K,XXXXX932Z,3,YST Conservatory of Music,Music,Mechanical Engineering,"['MUL2109', 'MUA3221', 'MUT3224', 'MUA1163', 'MUA3181', 'MUA2204', 'GET1047', 'MUA2205', 'MUA2177', 'CFA1101B', 'MUA2153', 'MUA3230', 'MUA2255A', 'MUA1111', 'CFA1111A', 'MUT1102', 'GEC1014', 'MUA3153', 'MUA3117', 'MUA2109', 'MUA3233', 'MUA2256', 'MUA3219', 'MUA3271']","{'MUL2109': 'C', 'MUA3221': 'A-', 'MUT3224': 'C', 'MUA1163': 'C+', 'MUA3181': 'C+', 'MUA2204': 'C+', 'GET1047': 'C+', 'MUA2205': 'B+', 'MUA2177': 'A+', 'CFA1101B': 'A-', 'MUA2153': 'A', 'MUA3230': 'B-', 'MUA2255A': 'C', 'MUA1111': 'B', 'CFA1111A': 'B+', 'MUT1102': 'A-', 'GEC1014': 'F', 'MUA3153': 'A+', 'MUA3117': 'C+', 'MUA2109': 'B-', 'MUA3233': 'F', 'MUA2256': 'B', 'MUA3219': 'A', 'MUA3271': 'B-'}"
Troy Mcfarland,A0255243L,XXXXX273Z,1,Computing,Information Systems,,"['IS1108', 'CS1010R', 'CS1010X', 'CS1231R', 'BT1101', 'DMC1401', 'GEI1000', 'IS1128']","{'IS1108': 'A+', 'CS1010R': 'A-', 'CS1010X': 'D', 'CS1231R': 'A-', 'BT1101': 'C', 'DMC1401': 'D', 'GEI1000': 'A+', 'IS1128': 'C'}"
Scott Pollard,A0253476A,XXXXX948Z,4,Arts and Social Science,Sociology,,"['GES1028', 'NM4258', 'ISE3550', 'EL4401', 'TS4221HM', 'GE4226', 'SC3203', 'JS3551', 'MS2211', 'PS2251', 'MS1102E', 'NHS3911PS', 'EC3551', 'NM4256', 'SC4880C', 'PS4229HM', 'PS4303', 'PS3237', 'SC3214', 'PS3276', 'PS3550', 'CH1101E', 'SC4205', 'GEC1004', 'NHS3911EC', 'GESS1013', 'SE3551', 'NM3230', 'NHS3911EL', 'MS2210', 'MS4208', 'GE4234']","{'GES1028': 'A-', 'NM4258': 'C', 'ISE3550': 'B-', 'EL4401': 'A+', 'TS4221HM': 'F', 'GE4226': 'A-', 'SC3203': 'C', 'JS3551': 'C', 'MS2211': 'C', 'PS2251': 'A', 'MS1102E': 'A-', 'NHS3911PS': 'D', 'EC3551': 'B+', 'NM4256': 'C+', 'SC4880C': 'B+', 'PS4229HM': 'D', 'PS4303': 'A-', 'PS3237': 'C+', 'SC3214': 'A', 'PS3276': 'C+', 'PS3550': 'C+', 'CH1101E': 'B-', 'SC4205': 'A-', 'GEC1004': 'A', 'NHS3911EC': 'A', 'GESS1013': 'A-', 'SE3551': 'D', 'NM3230': 'A', 'NHS3911EL': 'F', 'MS2210': 'B+', 'MS4208': 'A+', 'GE4234': 'A'}"
Jennifer Padilla,A0264363E,XXXXX633Z,2,Yong Loo Lin Sch of Medicine,Medicine,,"['NUR2501', 'NUR2500', 'NUR1124', 'NUR1123', 'MIH1102', 'MIC2000A', 'NUR1108C', 'NUR2441A', 'NUR2124', 'MIH2202', 'NUR2503', 'NUR2203C', 'MD1903', 'NUR2204C', 'NUR2502', 'HS2924']","{'NUR2501': 'C+', 'NUR2500': 'B-', 'NUR1124': 'A-', 'NUR1123': 'D', 'MIH1102': 'C+', 'MIC2000A': 'F', 'NUR1108C': 'F', 'NUR2441A': 'A-', 'NUR2124': 'B-', 'MIH2202': 'C', 'NUR2503': 'B', 'NUR2203C': 'B', 'MD1903': 'A', 'NUR2204C': 'F', 'NUR2502': 'A+', 'HS2924': 'B+'}"
Teresa Gomez,A0288194R,XXXXX918Z,2,NUS Business School,Business Administration,,"['BSP1703', 'DMB1204FIN', 'BSP1702X', 'DMB1203DAO', 'RE2706', 'DMB1203FIN', 'DAO2703', 'DMB1201MKT', 'RE1702', 'DMB1202DAO', 'MKT1705X', 'BPM1701', 'MNO2706', 'MNO1706A', 'MKT1705C', 'DMB1203MNO']","{'BSP1703': 'B-', 'DMB1204FIN': 'A+', 'BSP1702X': 'F', 'DMB1203DAO': 'B-', 'RE2706': 'B+', 'DMB1203FIN': 'B-', 'DAO2703': 'C', 'DMB1201MKT': 'A-', 'RE1702': 'B+', 'DMB1202DAO': 'B', 'MKT1705X': 'B+', 'BPM1701': 'A-', 'MNO2706': 'B+', 'MNO1706A': 'D', 'MKT1705C': 'F', 'DMB1203MNO': 'B+'}"
Tracy Scott,A0202176X,XXXXX813Z,4,Yong Loo Lin Sch of Medicine,Nursing,,"['NUR4102B', 'NUR3505', 'NUR4104B', 'NUR3205D', 'MIC2000A', 'NUR2107B', 'NUR2124', 'NUR4101B', 'NUR4103B', 'NUR3506', 'NUR3120', 'NUR2113', 'NUR1108C', 'GEH1043', 'NUR3507', 'NUR3501', 'ALS1010', 'NUR2501', 'NUR1107B', 'NUR3119', 'MD3140T', 'NUR1202C', 'NUR3117A', 'NUR3105B', 'NUR2204C', 'NUR3504', 'NUR2203C', 'MD3140E', 'MD1902', 'NUR3116C', 'NUR2502', 'NUR3500']","{'NUR4102B': 'A-', 'NUR3505': 'F', 'NUR4104B': 'D', 'NUR3205D': 'B-', 'MIC2000A': 'B-', 'NUR2107B': 'B-', 'NUR2124': 'A+', 'NUR4101B': 'C+', 'NUR4103B': 'C+', 'NUR3506': 'A', 'NUR3120': 'A+', 'NUR2113': 'D', 'NUR1108C': 'C+', 'GEH1043': 'B+', 'NUR3507': 'B', 'NUR3501': 'B-', 'ALS1010': 'A-', 'NUR2501': 'A+', 'NUR1107B': 'A+', 'NUR3119': 'C+', 'MD3140T': 'B-', 'NUR1202C': 'D', 'NUR3117A': 'F', 'NUR3105B': 'D', 'NUR2204C': 'A+', 'NUR3504': 'D', 'NUR2203C': 'D', 'MD3140E': 'A+', 'MD1902': 'B-', 'NUR3116C': 'A', 'NUR2502': 'F', 'NUR3500': 'A+'}"
Albert Miller,A0223583E,XXXXX681Z,4,Yong Loo Lin Sch of Medicine,Medicine,,"['NUR2125', 'MIH2202', 'NUR2503', 'MD3140E', 'NUR2502', 'NUR3114', 'MD1902', 'NUR3105C', 'NUR1125', 'NUR2107B', 'NUR3504', 'NUR1123', 'NUR3500', 'NUR1107B', 'GEH1043', 'NUR3502', 'NUR3116B', 'NUR1202C', 'NUR3119', 'HS2924', 'NUR3507', 'NUR2106B', 'NUR2203C', 'NUR3205D', 'MIH1102', 'GET1022', 'NUR1114A', 'NUR3503', 'NUR2501', 'NUR3506', 'NUR1113A', 'MD1903']","{'NUR2125': 'A+', 'MIH2202': 'A+', 'NUR2503': 'A+', 'MD3140E': 'C', 'NUR2502': 'D', 'NUR3114': 'C+', 'MD1902': 'D', 'NUR3105C': 'A+', 'NUR1125': 'A+', 'NUR2107B': 'B+', 'NUR3504': 'C+', 'NUR1123': 'D', 'NUR3500': 'C+', 'NUR1107B': 'F', 'GEH1043': 'D', 'NUR3502': 'B-', 'NUR3116B': 'C+', 'NUR1202C': 'A', 'NUR3119': 'A+', 'HS2924': 'A-', 'NUR3507': 'B+', 'NUR2106B': 'C+', 'NUR2203C': 'B', 'NUR3205D': 'F', 'MIH1102': 'A+', 'GET1022': 'B+', 'NUR1114A': 'B+', 'NUR3503': 'D', 'NUR2501': 'A+', 'NUR3506': 'F', 'NUR1113A': 'C+', 'MD1903': 'D'}"
Robert Sutton,A0281882D,XXXXX305Z,4,Science,Physics,,"['SP2273', 'FDP2021', 'ENV3289R', 'MA3310', 'LSM4199', 'ST3288R', 'ENV3288R', 'SP1230', 'HS2906', 'ENV3101', 'MA4312', 'MA4310', 'MA2312U', 'SP3172', 'LSM4288E', 'CM3312', 'FST2204', 'PC4288Q', 'FDP2011', 'XFS4199C', 'LSM3313', 'ENV3104', 'UTOS2002M', 'PC3239', 'HS1401S', 'UTOS2001', 'LSM3289R', 'QF4313', 'QF4199', 'SP3275', 'ZB4199', 'ST4199']","{'SP2273': 'A', 'FDP2021': 'B+', 'ENV3289R': 'B+', 'MA3310': 'B+', 'LSM4199': 'F', 'ST3288R': 'A', 'ENV3288R': 'C+', 'SP1230': 'B', 'HS2906': 'D', 'ENV3101': 'A', 'MA4312': 'C', 'MA4310': 'C+', 'MA2312U': 'B', 'SP3172': 'B-', 'LSM4288E': 'D', 'CM3312': 'B+', 'FST2204': 'B', 'PC4288Q': 'A+', 'FDP2011': 'A', 'XFS4199C': 'A+', 'LSM3313': 'B-', 'ENV3104': 'B+', 'UTOS2002M': 'A-', 'PC3239': 'C', 'HS1401S': 'D', 'UTOS2001': 'C+', 'LSM3289R': 'C+', 'QF4313': 'C+', 'QF4199': 'D', 'SP3275': 'A', 'ZB4199': 'A', 'ST4199': 'B-'}"
Brittney Parker,A0223706Y,XXXXX914Z,3,Yong Loo Lin Sch of Medicine,Nursing,,"['NUR3119', 'GEH1043', 'NUR2441A', 'NUR3106B', 'NUR1202C', 'NUR3504', 'MIH2202', 'NUR3116C', 'NUR2204C', 'NUR3105B', 'NUR1107B', 'NUR1113A', 'NUR1108C', 'MD1902', 'NUR3503', 'NUR2125', 'NUR3505', 'MIH1101', 'GET1022', 'NUR2503', 'NUR3120', 'NUR3116B', 'MD1903', 'ALS1010']","{'NUR3119': 'A', 'GEH1043': 'B', 'NUR2441A': 'A-', 'NUR3106B': 'A+', 'NUR1202C': 'B+', 'NUR3504': 'F', 'MIH2202': 'B-', 'NUR3116C': 'B-', 'NUR2204C': 'A+', 'NUR3105B': 'C', 'NUR1107B': 'A-', 'NUR1113A': 'C+', 'NUR1108C': 'B', 'MD1902': 'B', 'NUR3503': 'D', 'NUR2125': 'B', 'NUR3505': 'A-', 'MIH1101': 'B+', 'GET1022': 'A', 'NUR2503': 'A+', 'NUR3120': 'D', 'NUR3116B': 'B+', 'MD1903': 'C', 'ALS1010': 'C+'}"
Meghan Mason,A0284373D,XXXXX509Z,3,Science,Data Science and Economics,,"['ST2313', 'GET1020', 'ENV3104', 'UTOS2002C', 'UTOS2002P', 'LSM3288', 'ENV2288', 'CM2312', 'LSM3312', 'CM3288', 'UTOS2002F', 'FST3310', 'UTOS2201B', 'HS1501', 'HSI1000', 'UTOS2001S', 'SP2271', 'PC3289Q', 'ENV3289R', 'UTOS2001B', 'MA1301', 'CM3313', 'HS1402S', 'UTOS2201S']","{'ST2313': 'A', 'GET1020': 'B', 'ENV3104': 'C+', 'UTOS2002C': 'D', 'UTOS2002P': 'D', 'LSM3288': 'B-', 'ENV2288': 'B', 'CM2312': 'B+', 'LSM3312': 'B+', 'CM3288': 'F', 'UTOS2002F': 'A-', 'FST3310': 'A-', 'UTOS2201B': 'D', 'HS1501': 'F', 'HSI1000': 'A-', 'UTOS2001S': 'D', 'SP2271': 'A+', 'PC3289Q': 'A-', 'ENV3289R': 'B+', 'UTOS2001B': 'B-', 'MA1301': 'F', 'CM3313': 'F', 'HS1402S': 'F', 'UTOS2201S': 'D'}"
Nicholas Anderson,A0233140Z,XXXXX687Z,4,Arts and Social Science,Psychology,Music,"['ASP1201MS', 'GEX1011', 'GL1101E', 'GEC1039', 'MS4204HM', 'ASP1201EC', 'EN4660HM', 'EN4265', 'EN4880AHM', 'SC4101HM', 'SC4201HM', 'CH2293', 'GE4239HM', 'GESS1005', 'MS3214', 'HY3245', 'GESS1009', 'GL4885B', 'HY2237', 'TS4660', 'PS4203HM', 'NHS4912PH', 'PS4401', 'NM4256', 'TS4221HM', 'JS4227', 'HY2262', 'HY3231', 'GL4884AHM', 'PS3272', 'EN4232HM', 'GEH1054']","{'ASP1201MS': 'A-', 'GEX1011': 'A', 'GL1101E': 'A+', 'GEC1039': 'C', 'MS4204HM': 'A+', 'ASP1201EC': 'C', 'EN4660HM': 'B+', 'EN4265': 'A', 'EN4880AHM': 'D', 'SC4101HM': 'F', 'SC4201HM': 'C', 'CH2293': 'F', 'GE4239HM': 'C', 'GESS1005': 'A-', 'MS3214': 'F', 'HY3245': 'A', 'GESS1009': 'A-', 'GL4885B': 'A+', 'HY2237': 'B', 'TS4660': 'B', 'PS4203HM': 'B-', 'NHS4912PH': 'F', 'PS4401': 'B-', 'NM4256': 'C+', 'TS4221HM': 'B+', 'JS4227': 'B+', 'HY2262': 'A', 'HY3231': 'B-', 'GL4884AHM': 'C', 'PS3272': 'F', 'EN4232HM': 'B-', 'GEH1054': 'C+'}"
Nancy Smith,A0280257Z,XXXXX654Z,4,Arts and Social Science,Sociology,,"['CH2390', 'SC2209', 'SC4219HM', 'NHS4912ENC', 'MS4204HM', 'SN3261', 'TS2240', 'GEC1017', 'GE4236HM', 'AN3203', 'NM3205', 'PS4881DHM', 'NM4238', 'GL4882B', 'NM3551', 'EL4252HM', 'EL4660', 'HS2908', 'SW3551', 'SC2217', 'XFA4402', 'NM4245', 'GEN2001', 'ASP1201EC', 'NM4255', 'PE4401SHM', 'PS3880G', 'NM4249HM', 'SN3282', 'GE4218HM', 'TS1101E', 'PH2222']","{'CH2390': 'C+', 'SC2209': 'B+', 'SC4219HM': 'A-', 'NHS4912ENC': 'D', 'MS4204HM': 'B+', 'SN3261': 'B+', 'TS2240': 'D', 'GEC1017': 'A+', 'GE4236HM': 'D', 'AN3203': 'A-', 'NM3205': 'A+', 'PS4881DHM': 'C+', 'NM4238': 'A+', 'GL4882B': 'A+', 'NM3551': 'A+', 'EL4252HM': 'B-', 'EL4660': 'B', 'HS2908': 'D', 'SW3551': 'B', 'SC2217': 'A+', 'XFA4402': 'C', 'NM4245': 'F', 'GEN2001': 'A', 'ASP1201EC': 'F', 'NM4255': 'B-', 'PE4401SHM': 'C+', 'PS3880G': 'D', 'NM4249HM': 'B-', 'SN3282': 'A', 'GE4218HM': 'B-', 'TS1101E': 'B', 'PH2222': 'B+'}"
Terri Hall,A0247497M,XXXXX295Z,4,College of Design and Engineering,Industrial Design,,"['PF3307', 'CDE4301A', 'IPM3101', 'BN4304', 'PF2110', 'PF3209', 'MLE4101B', 'CDE2000', 'AR1101', 'ME3242', 'CDE4501A', 'CDE2605R', 'ID2116', 'PF4102', 'PF4209', 'ESE3101', 'IPM4101', 'PF3208', 'BN4501', 'ID3125', 'UTOD2001', 'ME4248', 'PF3105', 'ESP2107', 'ESP4901', 'EG3611B', 'ID3130', 'AR4955', 'ID2114', 'ID1115', 'EG3612', 'ID4108']","{'PF3307': 'F', 'CDE4301A': 'F', 'IPM3101': 'C+', 'BN4304': 'A-', 'PF2110': 'A-', 'PF3209': 'C', 'MLE4101B': 'C', 'CDE2000': 'C+', 'AR1101': 'A', 'ME3242': 'D', 'CDE4501A': 'B', 'CDE2605R': 'D', 'ID2116': 'C+', 'PF4102': 'F', 'PF4209': 'C', 'ESE3101': 'C', 'IPM4101': 'D', 'PF3208': 'C+', 'BN4501': 'A', 'ID3125': 'B-', 'UTOD2001': 'A', 'ME4248': 'C+', 'PF3105': 'B-', 'ESP2107': 'B', 'ESP4901': 'A-', 'EG3611B': 'B+', 'ID3130': 'B', 'AR4955': 'A+', 'ID2114': 'D', 'ID1115': 'B-', 'EG3612': 'A-', 'ID4108': 'B+'}"
Julie Adams,A0239047Z,XXXXX923Z,2,Yong Loo Lin Sch of Medicine,Nursing,,"['NUR2125', 'NUR2501', 'GET1022', 'NUR1114A', 'GEC1011', 'NUR1202C', 'NUR2503', 'NUR1123', 'NUR2106B', 'MD1902', 'NUR1107B', 'NUR2204C', 'ALS1010', 'MD1903', 'NUR2203C', 'MIH2202']","{'NUR2125': 'B', 'NUR2501': 'C', 'GET1022': 'D', 'NUR1114A': 'D', 'GEC1011': 'A', 'NUR1202C': 'A', 'NUR2503': 'C', 'NUR1123': 'D', 'NUR2106B': 'B', 'MD1902': 'A', 'NUR1107B': 'B+', 'NUR2204C': 'B', 'ALS1010': 'A+', 'MD1903': 'A+', 'NUR2203C': 'B+', 'MIH2202': 'B-'}"
Jenny Richardson,A0278058R,XXXXX740Z,2,Yong Loo Lin Sch of Medicine,Medicine,,"['NUR1124', 'NUR2124', 'MIC2000A', 'GEH1043', 'GEC1011', 'GET1022', 'NUR2441A', 'NUR2501', 'MIH2201', 'NUR2204C', 'HS2924', 'NUR2500', 'MIH1101', 'NUR1108C', 'MIH2202', 'NUR1113A']","{'NUR1124': 'C', 'NUR2124': 'B-', 'MIC2000A': 'A-', 'GEH1043': 'C+', 'GEC1011': 'A+', 'GET1022': 'A', 'NUR2441A': 'B+', 'NUR2501': 'B', 'MIH2201': 'A+', 'NUR2204C': 'B+', 'HS2924': 'C', 'NUR2500': 'A-', 'MIH1101': 'B-', 'NUR1108C': 'B+', 'MIH2202': 'A+', 'NUR1113A': 'D'}"
Paula West,A0274297Z,XXXXX792Z,4,Yong Loo Lin Sch of Medicine,Medicine,,"['NUR3105C', 'MD3140E', 'NUR3202C', 'NUR2203C', 'NUR2124', 'NUR2113', 'NUR3507', 'MD1903', 'MD1902', 'NUR1108C', 'MIH1102', 'NUR2441A', 'NUR3116B', 'NUR3503', 'NUR3501', 'NUR2502', 'ALS1010', 'NUR3117A', 'NUR2500', 'NUR1202C', 'NUR3205D', 'NUR2503', 'NUR2501', 'MIH3201', 'NUR3502', 'NUR4101B', 'NUR1113A', 'NUR3119', 'NUR4103B', 'NUR2204C', 'GEH1043', 'MIH2201']","{'NUR3105C': 'B-', 'MD3140E': 'C', 'NUR3202C': 'A+', 'NUR2203C': 'C', 'NUR2124': 'F', 'NUR2113': 'C', 'NUR3507': 'A-', 'MD1903': 'C', 'MD1902': 'B', 'NUR1108C': 'B-', 'MIH1102': 'C', 'NUR2441A': 'A-', 'NUR3116B': 'D', 'NUR3503': 'D', 'NUR3501': 'C+', 'NUR2502': 'D', 'ALS1010': 'D', 'NUR3117A': 'B-', 'NUR2500': 'B', 'NUR1202C': 'B-', 'NUR3205D': 'A', 'NUR2503': 'A+', 'NUR2501': 'B', 'MIH3201': 'B', 'NUR3502': 'C+', 'NUR4101B': 'A-', 'NUR1113A': 'A', 'NUR3119': 'F', 'NUR4103B': 'F', 'NUR2204C': 'A+', 'GEH1043': 'A-', 'MIH2201': 'A-'}"
