Employee_ID,Employee_Name,NRIC,DOB,DOJ,Department,Modules_Taught
NUSPF12365,Susan Jimenez,XXXXX795A,1990-06-24T00:00:00Z,2006-06-09T00:00:00Z,SCALE Dean's Office,TME3122
NUSPF12366,Paula Evans,XXXXX602A,1974-09-09T00:00:00Z,2008-08-21T00:00:00Z,Philosophy,PH4244HM
NUSPF12367,Phillip Martin,XXXXX338A,1975-10-06T00:00:00Z,2009-11-16T00:00:00Z,Psychology,PL1101E
NUSPF12368,Julie Choi,XXXXX425A,1992-03-22T00:00:00Z,2001-05-10T00:00:00Z,Duke-NUS Dean's Office,GMS5149
NUSPF12369,Robert Hawkins,XXXXX838A,1992-09-04T00:00:00Z,2006-07-09T00:00:00Z,History,HY5412
NUSPF12370,David Maldonado,XXXXX976A,1977-07-10T00:00:00Z,2006-01-16T00:00:00Z,Duke-NUS Dean's Office,GMS5154
NUSPF12371,Tammie Webb,XXXXX684A,1992-06-18T00:00:00Z,2010-06-21T00:00:00Z,Mathematics,MA1522
NUSPF12372,Jennifer Lewis,XXXXX378A,1970-10-25T00:00:00Z,2011-04-07T00:00:00Z,FoL Dean's Office,LL4452V
NUSPF12373,Vernon Wolfe,XXXXX574A,1991-11-24T00:00:00Z,2007-04-11T00:00:00Z,NUS College Dean's Office,NHT2207
NUSPF12374,Michelle Burke,XXXXX858A,1990-04-20T00:00:00Z,1999-11-22T00:00:00Z,Mathematics,QF5214
NUSPF12375,Kendra Fields,XXXXX593A,1976-12-16T00:00:00Z,2008-02-05T00:00:00Z,Biological Sciences,BL5220
NUSPF12376,Heather Mcdaniel,XXXXX566A,1994-07-10T00:00:00Z,2012-03-02T00:00:00Z,LKYSPP Dean's Office,PP5904
NUSPF12377,Dr. Sean Davis,XXXXX471A,1991-11-10T00:00:00Z,2005-07-31T00:00:00Z,FoL Dean's Office,LL5356V
NUSPF12378,Melissa Henderson,XXXXX179A,1983-02-13T00:00:00Z,2001-09-12T00:00:00Z,FASS DO/Office of Programmes,ASP1201CH
NUSPF12379,Joshua Welch,XXXXX185A,1987-07-29T00:00:00Z,2006-07-24T00:00:00Z,Strategy and Policy,GESS1036
NUSPF12380,Eugene Mitchell,XXXXX933A,1971-07-26T00:00:00Z,2005-03-20T00:00:00Z,Computer Science,CS5239
NUSPF12381,Alisha Browning,XXXXX986A,1970-01-24T00:00:00Z,2006-04-12T00:00:00Z,Duke-NUS Dean's Office,GMS5004
NUSPF12382,Tracy Brown,XXXXX515A,1974-05-17T00:00:00Z,2012-10-31T00:00:00Z,Malay Studies,MS4880B
NUSPF12383,Jessica Evans,XXXXX909A,1984-03-29T00:00:00Z,2014-06-22T00:00:00Z,CDE Dean's Office,CDE2701B
NUSPF12384,Edward Chang,XXXXX297A,1974-03-20T00:00:00Z,2000-03-03T00:00:00Z,Residential College 4,UTC2730
NUSPF12385,Carlos Murphy,XXXXX888A,1983-10-13T00:00:00Z,1999-07-30T00:00:00Z,SCALE Dean's Office,TCX1101
NUSPF12386,Samantha Anderson,XXXXX666A,1978-12-25T00:00:00Z,2010-08-27T00:00:00Z,YSTCM Dean's Office,MUA3266
NUSPF12387,Richard Johnson,XXXXX266A,1983-06-07T00:00:00Z,2005-09-16T00:00:00Z,Alice Lee Center for Nursing Studies,NUR2441A
NUSPF12388,Melissa Adams,XXXXX962A,1985-01-15T00:00:00Z,2000-11-29T00:00:00Z,Southeast Asian Studies,SE3551
NUSPF12389,David Keller,XXXXX193A,1974-05-05T00:00:00Z,2006-12-01T00:00:00Z,Architecture,DEP5110
NUSPF12390,Kathryn Allen,XXXXX350A,1971-05-04T00:00:00Z,2002-06-28T00:00:00Z,PharmacyandPharmaceuticalScience,PR2150
NUSPF12391,Laura Garrison,XXXXX248A,1993-04-12T00:00:00Z,2011-11-06T00:00:00Z,Architecture,AR2522
NUSPF12392,Stephen Tyler,XXXXX412A,1988-11-13T00:00:00Z,2013-06-20T00:00:00Z,Economics,EC4302
NUSPF12393,Tammy Hart,XXXXX657A,1980-09-18T00:00:00Z,2010-04-03T00:00:00Z,SSH School of Public Health Dean's Office,SPH5890B
NUSPF12394,Thomas Alvarez,XXXXX553A,1986-09-24T00:00:00Z,2006-12-02T00:00:00Z,Strategy and Policy,BSP1703
NUSPF12395,David Cohen,XXXXX759A,1973-11-07T00:00:00Z,2011-05-14T00:00:00Z,English,ENC5253
NUSPF12396,Matthew Williams,XXXXX450A,1975-03-28T00:00:00Z,2013-03-15T00:00:00Z,Materials Science and Engineering,MLE5101
NUSPF12397,Joshua Fox,XXXXX962A,1987-02-20T00:00:00Z,2005-09-11T00:00:00Z,Japanese Studies,JS4230HM
NUSPF12398,Christopher Chung,XXXXX798A,1976-02-23T00:00:00Z,2012-02-03T00:00:00Z,Civil and Environmental Engineering,CE5611QA
NUSPF12399,Jennifer Williams,XXXXX179A,1983-04-29T00:00:00Z,2014-06-01T00:00:00Z,Electrical and Computer Engineering,EE6990
NUSPF12400,Mason Thomas,XXXXX535A,1976-10-05T00:00:00Z,2010-02-25T00:00:00Z,Civil and Environmental Engineering,ESE5202
NUSPF12401,Jonathan Larsen,XXXXX335A,1984-06-20T00:00:00Z,2007-02-23T00:00:00Z,Physics,PC2174A
NUSPF12402,Robert Johnson,XXXXX799A,1987-10-28T00:00:00Z,2014-07-12T00:00:00Z,Engineering Science Programme,ESP2107
NUSPF12403,Troy Mitchell DVM,XXXXX529A,1971-10-24T00:00:00Z,2004-11-18T00:00:00Z,FoL Dean's Office,LC5074
NUSPF12404,Joe Carter,XXXXX954A,1984-05-15T00:00:00Z,2006-01-06T00:00:00Z,Electrical and Computer Engineering,EE6135
NUSPF12405,Jenny Allison,XXXXX960A,1972-12-26T00:00:00Z,2007-02-08T00:00:00Z,Industrial Systems Engineering and Management,IE5108
NUSPF12406,Michael Barnes,XXXXX163A,1988-08-19T00:00:00Z,2002-09-28T00:00:00Z,Duke-NUS Dean's Office,GMS5224
NUSPF12407,Brian Good,XXXXX389A,1979-11-30T00:00:00Z,2008-03-13T00:00:00Z,FoL Dean's Office,LL4029BV
NUSPF12408,Jeff Waters,XXXXX171A,1976-06-15T00:00:00Z,2000-05-15T00:00:00Z,Electrical and Computer Engineering,EEK5104
NUSPF12409,Tonya Bennett,XXXXX971A,1973-07-05T00:00:00Z,2007-02-19T00:00:00Z,English,GESS1021
NUSPF12410,Nathan Davis,XXXXX419A,1994-04-20T00:00:00Z,2004-03-09T00:00:00Z,Chinese Studies,CH5660
NUSPF12411,Erica Moore,XXXXX214A,1983-11-12T00:00:00Z,2006-02-07T00:00:00Z,Yale-NUS College,YIR3316G
NUSPF12412,Billy Hunter,XXXXX179A,1986-08-20T00:00:00Z,2001-11-13T00:00:00Z,Communications and New Media,ACE5480
NUSPF12413,Annette Miller,XXXXX211A,1993-03-12T00:00:00Z,2009-06-16T00:00:00Z,Chemistry,CM5100
NUSPF12414,Michael Smith,XXXXX594A,1975-01-23T00:00:00Z,2011-02-28T00:00:00Z,Economics,ECA5335
NUSPF12415,Christopher Cox,XXXXX278A,1975-11-01T00:00:00Z,2006-11-15T00:00:00Z,Civil and Environmental Engineering,CE5805QB
NUSPF12416,Jose Wallace,XXXXX717A,1971-09-08T00:00:00Z,2013-10-04T00:00:00Z,SCALE Dean's Office,TBA2101
NUSPF12417,Andrea Glass,XXXXX979A,1970-07-07T00:00:00Z,2005-10-05T00:00:00Z,SSH School of Public Health Dean's Office,SPH5890D
NUSPF12418,Vanessa Valencia,XXXXX385A,1990-09-16T00:00:00Z,2010-02-02T00:00:00Z,Physics,PC5101
NUSPF12419,Thomas Sparks,XXXXX181A,1970-12-15T00:00:00Z,2007-09-26T00:00:00Z,Biological Sciences,BL5602
NUSPF12420,Jonathan Shelton,XXXXX531A,1985-10-13T00:00:00Z,2009-08-29T00:00:00Z,Biomedical Engineering,BN5516
NUSPF12421,Morgan Clarke,XXXXX149A,1970-12-08T00:00:00Z,2004-12-12T00:00:00Z,Marketing,MKT3716
NUSPF12422,Heather Richards,XXXXX771A,1982-02-13T00:00:00Z,2011-05-28T00:00:00Z,Industrial Systems Engineering and Management,IE5206
NUSPF12423,Anita Smith,XXXXX394A,1982-08-12T00:00:00Z,2013-01-29T00:00:00Z,FoL Dean's Office,LL6528V
NUSPF12424,Latoya Lopez,XXXXX263A,1980-02-14T00:00:00Z,2006-07-08T00:00:00Z,Office of the Provost,DMX1401AI
NUSPF12425,Crystal Meyers,XXXXX125A,1982-09-07T00:00:00Z,2003-09-21T00:00:00Z,Information Systems and Analytics,IS4231
NUSPF12426,Alexander Garrett,XXXXX134A,1981-01-11T00:00:00Z,2011-08-11T00:00:00Z,Political Science,PS4660HM
NUSPF12427,Donna Molina,XXXXX279A,1989-09-29T00:00:00Z,2009-04-24T00:00:00Z,BIZ Dean's Office,BMG5202
NUSPF12428,Ethan Orr,XXXXX196A,1985-09-08T00:00:00Z,2009-06-09T00:00:00Z,FoL Dean's Office,LL6525
NUSPF12429,Judy Henry,XXXXX745A,1978-05-13T00:00:00Z,2001-01-31T00:00:00Z,Statistics and Data Science,ST2312
NUSPF12430,Chad Rogers,XXXXX369A,1991-06-20T00:00:00Z,2008-10-03T00:00:00Z,NUS College Dean's Office,GEA1000N
NUSPF12431,Ryan Skinner,XXXXX491A,1982-01-26T00:00:00Z,2011-04-27T00:00:00Z,CDE Dean's Office,CDE5301
NUSPF12432,Alison Schmidt,XXXXX203A,1991-06-10T00:00:00Z,2010-06-06T00:00:00Z,History,HY2262
NUSPF12433,Elizabeth Walker,XXXXX141A,1986-06-26T00:00:00Z,2012-04-25T00:00:00Z,Food Science and Technology,FST4312
NUSPF12434,Dustin Lowe,XXXXX334A,1975-04-11T00:00:00Z,2011-04-28T00:00:00Z,Information Systems and Analytics,BT4013
NUSPF12435,Russell Sherman,XXXXX789A,1991-12-17T00:00:00Z,2008-05-15T00:00:00Z,Biological Sciences,BL5323
NUSPF12436,Michael Williams,XXXXX161A,1981-08-15T00:00:00Z,2009-06-17T00:00:00Z,Chinese Studies,CHC5305
NUSPF12437,Antonio Ochoa,XXXXX411A,1975-10-23T00:00:00Z,2008-05-17T00:00:00Z,Philosophy,PH3218
NUSPF12438,Aaron Williams,XXXXX961A,1969-08-20T00:00:00Z,2014-05-14T00:00:00Z,Marketing,BMK6111V
NUSPF12439,Tom Morgan,XXXXX424A,1976-06-27T00:00:00Z,2001-06-14T00:00:00Z,Analytics and Operations,DOS5104
NUSPF12440,Edwin Kelley,XXXXX591A,1976-12-13T00:00:00Z,2007-04-09T00:00:00Z,Computer Science,IFS4205
NUSPF12441,Denise Freeman,XXXXX426A,1982-02-18T00:00:00Z,2008-07-22T00:00:00Z,Biological Sciences,LSM3243
NUSPF12442,Audrey Adams,XXXXX284A,1986-02-02T00:00:00Z,2000-07-23T00:00:00Z,BIZ Dean's Office,BME5042
NUSPF12443,David Martin,XXXXX312A,1986-12-12T00:00:00Z,2003-12-04T00:00:00Z,Chemistry,CM3254
NUSPF12444,Kylie Rivera,XXXXX808A,1985-01-17T00:00:00Z,1999-12-14T00:00:00Z,Centre for Language Studies,LAS2201
NUSPF12445,Nicholas Ellis,XXXXX946A,1977-09-02T00:00:00Z,2014-05-13T00:00:00Z,Centre for Language Studies,LAB3201
NUSPF12446,April Miller,XXXXX664A,1972-11-30T00:00:00Z,2003-05-27T00:00:00Z,Information Systems and Analytics,IS5116
NUSPF12447,Christina Clay,XXXXX600A,1976-08-19T00:00:00Z,2008-08-14T00:00:00Z,Electrical and Computer Engineering,EE4437
NUSPF12448,Maria White,XXXXX130A,1985-10-16T00:00:00Z,2001-07-31T00:00:00Z,Economics,EC6101
NUSPF12449,Michael Walker,XXXXX673A,1970-06-04T00:00:00Z,2004-01-20T00:00:00Z,BIZ Dean's Office,BMK5300B
NUSPF12450,Daniel Christian,XXXXX292A,1985-11-09T00:00:00Z,2002-04-24T00:00:00Z,PharmacyandPharmaceuticalScience,PR5135
NUSPF12451,Ashlee Ballard,XXXXX135A,1992-01-01T00:00:00Z,2012-03-03T00:00:00Z,Food Science and Technology,FST4103
NUSPF12452,Julie Logan,XXXXX998A,1985-10-06T00:00:00Z,2002-11-17T00:00:00Z,Architecture,AR5955C
NUSPF12453,Lindsey Stokes,XXXXX720A,1971-06-08T00:00:00Z,2004-08-16T00:00:00Z,Economics,XFA4408
NUSPF12454,Christopher Brown,XXXXX583A,1982-11-19T00:00:00Z,2007-10-24T00:00:00Z,Sociology and Anthropology,AN2203
NUSPF12455,Lisa Meyer,XXXXX262A,1978-12-18T00:00:00Z,2006-09-04T00:00:00Z,FoL Dean's Office,LL5008AV
NUSPF12456,Andrea Wright,XXXXX806A,1990-10-14T00:00:00Z,2001-09-13T00:00:00Z,FoL Dean's Office,LL6383Z
NUSPF12457,Danielle Jones,XXXXX657A,1994-07-11T00:00:00Z,2005-12-24T00:00:00Z,Finance,BZD6004
NUSPF12458,Michael Moore,XXXXX563A,1983-02-13T00:00:00Z,2011-04-30T00:00:00Z,Centre for Future-ready Grads,CFG2002VN
NUSPF12459,Matthew Vincent,XXXXX268A,1978-11-14T00:00:00Z,2013-12-17T00:00:00Z,Mechanical Engineering,ME5400A
NUSPF12460,Victoria Rodriguez,XXXXX599A,1979-07-18T00:00:00Z,2004-05-24T00:00:00Z,Southeast Asian Studies,SE4218
NUSPF12461,Kelly Richardson,XXXXX349A,1979-01-27T00:00:00Z,2007-06-18T00:00:00Z,English,TS1101E
NUSPF12462,Sharon Miller,XXXXX457A,1989-10-16T00:00:00Z,2005-07-29T00:00:00Z,Information Systems and Analytics,IS4233
NUSPF12463,Colleen Kaufman,XXXXX365A,1990-03-23T00:00:00Z,2012-11-07T00:00:00Z,Division of Graduate Medical Studies,HM5105
NUSPF12464,Justin Black,XXXXX807A,1983-11-05T00:00:00Z,2006-02-17T00:00:00Z,Civil and Environmental Engineering,CE5002A
NUSPF12465,Diane Roberts,XXXXX775A,1985-01-12T00:00:00Z,2007-06-20T00:00:00Z,Built Environment,IPM2103
NUSPF12466,Joel Evans,XXXXX239A,1991-07-02T00:00:00Z,2008-08-17T00:00:00Z,Southeast Asian Studies,CAS6660
NUSPF12467,Alexandra Hill,XXXXX625A,1976-09-14T00:00:00Z,2011-03-18T00:00:00Z,Real Estate,RE3807
NUSPF12468,Stephanie Calhoun,XXXXX630A,1975-06-30T00:00:00Z,1999-10-26T00:00:00Z,FoL Dean's Office,LLJ5190
NUSPF12469,Michael Hayes,XXXXX659A,1973-04-02T00:00:00Z,2002-05-17T00:00:00Z,Mathematics,MA2202
NUSPF12470,Bradley Hunt,XXXXX747A,1970-07-22T00:00:00Z,2006-03-24T00:00:00Z,FoL Dean's Office,LLJ5251V
NUSPF12471,Leah Walters,XXXXX230A,1971-09-18T00:00:00Z,2000-02-19T00:00:00Z,Philosophy,PH4213HM
NUSPF12472,Tyrone Stuart,XXXXX997A,1978-05-28T00:00:00Z,2004-03-01T00:00:00Z,Political Science,PS4314
NUSPF12473,Dennis Martin,XXXXX404A,1970-07-11T00:00:00Z,2008-11-03T00:00:00Z,Philosophy,PH3244
NUSPF12474,Tiffany Benjamin,XXXXX785A,1983-02-17T00:00:00Z,2002-06-16T00:00:00Z,SCALE Dean's Office,TEE3501
NUSPF12475,Donald Mayo,XXXXX399A,1989-11-17T00:00:00Z,2014-04-01T00:00:00Z,Philosophy,PH3203
NUSPF12476,Fred Brown,XXXXX748A,1980-02-19T00:00:00Z,1999-12-22T00:00:00Z,BIZ Dean's Office,BMS5415
NUSPF12477,David Mann,XXXXX204A,1973-11-08T00:00:00Z,2006-06-08T00:00:00Z,Psychology,PL5221R
NUSPF12478,George Sutton,XXXXX576A,1969-08-30T00:00:00Z,2002-02-01T00:00:00Z,English,GEH1054
NUSPF12479,Kimberly Gray,XXXXX541A,1990-11-26T00:00:00Z,2001-01-14T00:00:00Z,Finance,FIN3702A
NUSPF12480,Jacob Browning,XXXXX902A,1983-07-27T00:00:00Z,2010-10-06T00:00:00Z,CDE Dean's Office,UTOD2002
NUSPF12481,Cory Bush,XXXXX496A,1991-06-30T00:00:00Z,2004-04-22T00:00:00Z,SCALE Dean's Office,TCN4122
NUSPF12482,Hayley Roberts,XXXXX600A,1974-02-16T00:00:00Z,2013-07-05T00:00:00Z,Economics,EC2374
NUSPF12483,Christopher Ramos,XXXXX158A,1972-11-23T00:00:00Z,2013-10-13T00:00:00Z,Chemical and Biomolecular Engineering,SH5402
NUSPF12484,Spencer Cooper,XXXXX228A,1987-11-27T00:00:00Z,2001-06-02T00:00:00Z,FoL Dean's Office,LL5461V
NUSPF12485,Raymond Taylor,XXXXX722A,1983-07-24T00:00:00Z,2006-03-29T00:00:00Z,Alice Lee Center for Nursing Studies,NUR2502
NUSPF12486,Desiree King,XXXXX352A,1981-12-08T00:00:00Z,2011-01-29T00:00:00Z,Management and Organisation,BMO6023A
NUSPF12487,Antonio Hernandez,XXXXX600A,1994-05-13T00:00:00Z,2008-10-11T00:00:00Z,NUS College Dean's Office,NHT2211
NUSPF12488,Diana Gill,XXXXX321A,1984-12-24T00:00:00Z,2010-11-11T00:00:00Z,Chinese Studies,CH6248
NUSPF12489,Jeffrey Pollard,XXXXX243A,1973-01-31T00:00:00Z,2006-10-19T00:00:00Z,Information Systems and Analytics,BT5151
NUSPF12490,Tina Lewis,XXXXX425A,1971-04-15T00:00:00Z,2003-07-18T00:00:00Z,NUS College Dean's Office,NSS2001C
NUSPF12491,Scott Johnson,XXXXX458A,1978-01-01T00:00:00Z,2014-01-15T00:00:00Z,Political Science,PS4883A
NUSPF12492,Kyle Bolton,XXXXX499A,1988-12-05T00:00:00Z,2007-10-03T00:00:00Z,SSH School of Public Health Dean's Office,SPH5417
NUSPF12493,Jackie Anderson,XXXXX534A,1984-05-15T00:00:00Z,2001-03-28T00:00:00Z,Biomedical Engineering,BN2111
NUSPF12494,Nicole James,XXXXX144A,1980-11-30T00:00:00Z,2001-08-05T00:00:00Z,CDE Dean's Office,EG3612
NUSPF12495,Jessica Walker,XXXXX137A,1981-08-27T00:00:00Z,2006-05-15T00:00:00Z,YSTCM Dean's Office,MUA2159
NUSPF12496,Regina Brown,XXXXX293A,1988-01-19T00:00:00Z,2007-09-02T00:00:00Z,Southeast Asian Studies,SE3551
NUSPF12497,Shelby Bell,XXXXX744A,1978-09-01T00:00:00Z,2010-08-26T00:00:00Z,Japanese Studies,JS2233
NUSPF12498,Christina Cervantes,XXXXX943A,1979-07-16T00:00:00Z,2003-04-27T00:00:00Z,SoC Dean's Office,CP3108B
NUSPF12499,Robert Jones,XXXXX168A,1983-01-25T00:00:00Z,2009-07-29T00:00:00Z,Duke-NUS Dean's Office,GMS5721
NUSPF12500,Michael Myers,XXXXX712A,1986-07-07T00:00:00Z,2013-11-23T00:00:00Z,FoL Dean's Office,LL5008BV
NUSPF12501,Terri Nichols,XXXXX464A,1980-04-28T00:00:00Z,2010-04-13T00:00:00Z,Yale-NUS College,YSS3364
NUSPF12502,Jacob Payne,XXXXX442A,1971-06-18T00:00:00Z,2007-05-30T00:00:00Z,YSTCM Dean's Office,GET1040
NUSPF12503,Christina Farmer,XXXXX689A,1985-11-09T00:00:00Z,2009-12-22T00:00:00Z,Duke-NUS Dean's Office,GMS5502
NUSPF12504,Ann Obrien,XXXXX681A,1991-02-10T00:00:00Z,2012-08-21T00:00:00Z,FoL Dean's Office,LC5336
NUSPF12505,Julia Marshall,XXXXX987A,1988-07-30T00:00:00Z,2011-06-03T00:00:00Z,SSH School of Public Health Dean's Office,SPH6001
NUSPF12506,Andrew Hughes,XXXXX332A,1980-01-25T00:00:00Z,2008-02-23T00:00:00Z,Civil and Environmental Engineering,ESE4502N
NUSPF12507,Deborah Jones,XXXXX861A,1985-05-12T00:00:00Z,2001-02-20T00:00:00Z,Electrical and Computer Engineering,EE5507
NUSPF12508,Sheena Johnson,XXXXX816A,1972-12-05T00:00:00Z,2006-10-04T00:00:00Z,Chemistry,CM5268
NUSPF12509,Rebecca Bridges,XXXXX610A,1976-01-12T00:00:00Z,2007-05-11T00:00:00Z,Mathematics,MA1100
NUSPF12510,Candice Gomez,XXXXX280A,1970-04-12T00:00:00Z,2003-03-10T00:00:00Z,PharmacyandPharmaceuticalScience,PR5134A
NUSPF12511,Vickie Steele,XXXXX362A,1974-02-06T00:00:00Z,2008-05-27T00:00:00Z,NUS College Dean's Office,NHT2207
NUSPF12512,Jay Herrera,XXXXX571A,1992-10-02T00:00:00Z,2008-12-12T00:00:00Z,Strategy and Policy,BSE3751
NUSPF12513,Edwin Vang,XXXXX340A,1977-12-11T00:00:00Z,2008-04-18T00:00:00Z,Social Work,SW4660
NUSPF12514,Javier King,XXXXX488A,1992-12-13T00:00:00Z,2011-03-27T00:00:00Z,Psychology,PL5306
NUSPF12515,Amy Garcia,XXXXX713A,1977-12-26T00:00:00Z,2006-02-13T00:00:00Z,Yale-NUS College,YSS2202
NUSPF12516,Amber Andrade,XXXXX765A,1991-04-20T00:00:00Z,2000-06-24T00:00:00Z,Psychology,PL5221
NUSPF12517,David Rojas,XXXXX993A,1979-06-01T00:00:00Z,2001-09-02T00:00:00Z,English,EL5102R
NUSPF12518,Jessica Jackson,XXXXX778A,1970-09-11T00:00:00Z,2005-10-09T00:00:00Z,FoL Dean's Office,LL5459X
NUSPF12519,Lisa Gray,XXXXX698A,1988-06-04T00:00:00Z,2001-09-18T00:00:00Z,History,GESS1010
NUSPF12520,Zachary Martinez,XXXXX408A,1992-02-01T00:00:00Z,2003-05-27T00:00:00Z,Industrial Systems Engineering and Management,IE5909B
NUSPF12521,Eugene Evans,XXXXX244A,1989-07-18T00:00:00Z,2010-04-08T00:00:00Z,Psychology,UTOA2001PL
NUSPF12522,Emily Henry,XXXXX673A,1976-05-16T00:00:00Z,2001-05-25T00:00:00Z,Electrical and Computer Engineering,EE5111
NUSPF12523,Andrew Porter,XXXXX256A,1988-10-01T00:00:00Z,2006-01-24T00:00:00Z,PharmacyandPharmaceuticalScience,PR1150
NUSPF12524,Mark Blanchard,XXXXX328A,1993-07-18T00:00:00Z,2007-04-12T00:00:00Z,BIZ Dean's Office,BMA5404
NUSPF12525,Ashley Cooper,XXXXX618A,1991-06-30T00:00:00Z,2007-07-26T00:00:00Z,SCALE Dean's Office,TCX2003
NUSPF12526,William Daugherty,XXXXX972A,1973-07-29T00:00:00Z,2007-08-13T00:00:00Z,Physics,PC1101
NUSPF12527,Kristina Taylor,XXXXX622A,1981-06-11T00:00:00Z,2007-05-19T00:00:00Z,Industrial Design,ID5356
NUSPF12528,Bobby Pruitt,XXXXX609A,1984-12-17T00:00:00Z,2010-04-07T00:00:00Z,LKYSPP Dean's Office,PP5278
NUSPF12529,Charles Flynn,XXXXX284A,1993-12-03T00:00:00Z,2001-01-12T00:00:00Z,Industrial Systems Engineering and Management,IE5268
NUSPF12530,Brianna Scott,XXXXX573A,1969-09-30T00:00:00Z,2008-04-01T00:00:00Z,BIZ Dean's Office,BMG5104
NUSPF12531,Sarah Martinez,XXXXX917A,1986-10-04T00:00:00Z,2014-01-01T00:00:00Z,Political Science,GL4101
NUSPF12532,Nicholas Castillo,XXXXX348A,1984-11-03T00:00:00Z,2014-07-11T00:00:00Z,Food Science and Technology,FST2313
NUSPF12533,Rhonda Alvarez,XXXXX821A,1978-11-07T00:00:00Z,2013-09-09T00:00:00Z,Analytics and Operations,DBA3701
NUSPF12534,Kathleen George,XXXXX607A,1983-06-13T00:00:00Z,2008-08-27T00:00:00Z,Economics,GESS1000
NUSPF12535,Jody Johnson,XXXXX555A,1976-01-26T00:00:00Z,2007-07-02T00:00:00Z,Philosophy,PH6210
NUSPF12536,Deborah Hayes,XXXXX200A,1994-05-08T00:00:00Z,2000-03-01T00:00:00Z,Chinese Studies,CH4243
NUSPF12537,Tiffany Cruz,XXXXX150A,1972-05-09T00:00:00Z,2001-10-26T00:00:00Z,PharmacyandPharmaceuticalScience,PR1152
NUSPF12538,Jody Fuller,XXXXX636A,1971-03-13T00:00:00Z,2003-09-28T00:00:00Z,Statistics and Data Science,ST4299
NUSPF12539,Robert Benson,XXXXX957A,1974-11-03T00:00:00Z,2000-03-12T00:00:00Z,BIZ Dean's Office,BME5302
NUSPF12540,Sharon Arnold,XXXXX966A,1972-12-26T00:00:00Z,2010-01-13T00:00:00Z,FoL Dean's Office,LL6322
NUSPF12541,Bradley Brooks,XXXXX878A,1983-01-10T00:00:00Z,2014-04-13T00:00:00Z,Strategy and Policy,BSN3701B
NUSPF12542,Michael Green,XXXXX288A,1980-10-29T00:00:00Z,2006-08-24T00:00:00Z,English,ELC5207
NUSPF12543,Sheila Lopez,XXXXX363A,1969-08-11T00:00:00Z,2001-08-04T00:00:00Z,Risk Management Institute,FE5223
NUSPF12544,Kurt Mercado,XXXXX956A,1990-01-21T00:00:00Z,2005-08-30T00:00:00Z,Southeast Asian Studies,SE4212
NUSPF12545,Kimberly Grant,XXXXX983A,1989-07-22T00:00:00Z,2009-08-01T00:00:00Z,Physics,HSI2009
