Subject,Predicate,Object,Predicate2,Object2
Valerie Rivera,takes_module,CP2201,and_scored,C
Valerie Rivera,takes_module,IT2002,and_scored,B-
Valerie Rivera,takes_module,CS2040,and_scored,C
Valerie Rivera,takes_module,CS3223,and_scored,A+
Valerie Rivera,takes_module,CS2103,and_scored,B
Valerie Rivera,takes_module,BT2102,and_scored,B-
Valerie Rivera,takes_module,CS3243,and_scored,B+
Valerie Rivera,takes_module,CP3208,and_scored,A+
Valerie Rivera,takes_module,CS3230,and_scored,C
Valerie Rivera,takes_module,BT3103,and_scored,A-
Valerie Rivera,takes_module,IT2900,and_scored,A
Valerie Rivera,takes_module,CS2030,and_scored,C
Valerie Rivera,takes_module,IS3251,and_scored,C
Robert Hall,takes_module,MUA1109,and_scored,C+
Robert Hall,takes_module,CFA1101A,and_scored,B-
Robert Hall,takes_module,MUA2255A,and_scored,A
Robert Hall,takes_module,MUA1172,and_scored,B-
Robert Hall,takes_module,GEC1014,and_scored,C
Robert Hall,takes_module,MUH2204,and_scored,C
Robert Hall,takes_module,GET1047,and_scored,C+
Robert Hall,takes_module,MUA1153,and_scored,A-
Robert Hall,takes_module,CFA2101A,and_scored,D
Robert Hall,takes_module,CFA2210,and_scored,A
Robert Hall,takes_module,MUA1115,and_scored,C+
Robert Hall,takes_module,MUA2241,and_scored,A+
Robert Hall,takes_module,CFA1101B,and_scored,A+
Robert Hall,takes_module,CFA2101B,and_scored,A-
Robert Hall,takes_module,MUA3205,and_scored,A
Robert Hall,takes_module,MUA3256,and_scored,D
Robert Hall,takes_module,MUA1163,and_scored,B+
Robert Hall,takes_module,MUA1192,and_scored,B+
Robert Hall,takes_module,GET1019,and_scored,A+
Robert Hall,takes_module,MUH3205,and_scored,D
Robert Hall,takes_module,MUA3115,and_scored,A-
Robert Hall,takes_module,MUA1107,and_scored,F
Robert Hall,takes_module,GESS1015,and_scored,B
Robert Hall,takes_module,MUT3216,and_scored,B+
Kimberly Figueroa,takes_module,PF2103,and_scored,B+
Kimberly Figueroa,takes_module,GESS1014,and_scored,B-
Kimberly Figueroa,takes_module,EG1311,and_scored,C+
Kimberly Figueroa,takes_module,LAD2003,and_scored,B+
Kimberly Figueroa,takes_module,AR1328A,and_scored,A-
Kimberly Figueroa,takes_module,IE2141,and_scored,D
Kimberly Figueroa,takes_module,PF2205,and_scored,B-
Kimberly Figueroa,takes_module,LAD1004,and_scored,B-
Kimberly Figueroa,takes_module,AR1101A,and_scored,A-
Kimberly Figueroa,takes_module,CE2003,and_scored,B
Kimberly Figueroa,takes_module,BN2201,and_scored,A
Kimberly Figueroa,takes_module,BN1111,and_scored,A+
Kimberly Figueroa,takes_module,GEC1040,and_scored,B+
Kimberly Figueroa,takes_module,CDE2701A,and_scored,A
Kimberly Figueroa,takes_module,IPM1104,and_scored,A-
Kimberly Figueroa,takes_module,PF1108,and_scored,D
Brian Walsh,takes_module,CS1231R,and_scored,F
Brian Walsh,takes_module,IT1244,and_scored,C+
Brian Walsh,takes_module,CS1010E,and_scored,D
Brian Walsh,takes_module,CP2106,and_scored,A
Brian Walsh,takes_module,CP1008,and_scored,A
Brian Walsh,takes_module,IS2218,and_scored,B+
Brian Walsh,takes_module,CP4106,and_scored,A-
Brian Walsh,takes_module,CP3209,and_scored,C+
Brian Walsh,takes_module,CS2040,and_scored,B-
Brian Walsh,takes_module,CS2100,and_scored,B-
Brian Walsh,takes_module,CP4101,and_scored,A-
Brian Walsh,takes_module,DMC1401,and_scored,A-
Brian Walsh,takes_module,CS2106,and_scored,B
Brian Walsh,takes_module,CS4236,and_scored,B
Brian Walsh,takes_module,CS2105,and_scored,B
Brian Walsh,takes_module,IS4303,and_scored,C
Brian Walsh,takes_module,IS2238,and_scored,A-
Brian Walsh,takes_module,BT1101,and_scored,A-
Brian Walsh,takes_module,CP3201,and_scored,A+
Brian Walsh,takes_module,CP3108A,and_scored,C
Brian Walsh,takes_module,CS3231,and_scored,B-
Brian Walsh,takes_module,CS3236R,and_scored,A
Brian Walsh,takes_module,CS3235,and_scored,A-
Brian Walsh,takes_module,CP3111,and_scored,B-
Brian Walsh,takes_module,CS3237,and_scored,B+
Brian Walsh,takes_module,CP3108B,and_scored,F
Brian Walsh,takes_module,CS3264,and_scored,B
Brian Walsh,takes_module,CS2102,and_scored,C+
Brian Walsh,takes_module,IS4151,and_scored,C+
Brian Walsh,takes_module,CP3208,and_scored,A
Brian Walsh,takes_module,BT2101,and_scored,B
Brian Walsh,takes_module,IS3107,and_scored,D
Jimmy Rodriguez,takes_module,PS3249,and_scored,A-
Jimmy Rodriguez,takes_module,MS2213,and_scored,B+
Jimmy Rodriguez,takes_module,SE3224,and_scored,A-
Jimmy Rodriguez,takes_module,SN3223,and_scored,B+
Jimmy Rodriguez,takes_module,NM4660,and_scored,D
Jimmy Rodriguez,takes_module,GET1028,and_scored,C
Jimmy Rodriguez,takes_module,AH2101,and_scored,B-
Jimmy Rodriguez,takes_module,HY3223,and_scored,A-
Jimmy Rodriguez,takes_module,SW3224,and_scored,C+
Jimmy Rodriguez,takes_module,SE4227HM,and_scored,B
Jimmy Rodriguez,takes_module,NM4213,and_scored,F
Jimmy Rodriguez,takes_module,MS2212,and_scored,A
Jimmy Rodriguez,takes_module,TS2240,and_scored,A-
Jimmy Rodriguez,takes_module,EL4401,and_scored,A
Jimmy Rodriguez,takes_module,EN4222,and_scored,C+
Jimmy Rodriguez,takes_module,JS4227HM,and_scored,D
Jimmy Rodriguez,takes_module,SC4660,and_scored,A-
Jimmy Rodriguez,takes_module,GEH1022,and_scored,A+
Jimmy Rodriguez,takes_module,NM3550Y,and_scored,A-
Jimmy Rodriguez,takes_module,HS2907,and_scored,C+
Jimmy Rodriguez,takes_module,GL4883B,and_scored,C+
Jimmy Rodriguez,takes_module,GESS1021,and_scored,D
Jimmy Rodriguez,takes_module,PS4881B,and_scored,A
Jimmy Rodriguez,takes_module,NM4256,and_scored,A+
Jimmy Rodriguez,takes_module,PE3551S,and_scored,B+
Jimmy Rodriguez,takes_module,GEX1005,and_scored,A
Jimmy Rodriguez,takes_module,PL4501,and_scored,B+
Jimmy Rodriguez,takes_module,TS4401,and_scored,B+
Jimmy Rodriguez,takes_module,AN2206,and_scored,C+
Jimmy Rodriguez,takes_module,GE4226,and_scored,A
Jimmy Rodriguez,takes_module,PE4101PHM,and_scored,D
Jimmy Rodriguez,takes_module,HY3245,and_scored,C+
Angela Solis,takes_module,NUR1108C,and_scored,A+
Angela Solis,takes_module,MD1903,and_scored,B+
Angela Solis,takes_module,GEC1011,and_scored,A
Angela Solis,takes_module,NUR1202C,and_scored,A+
Angela Solis,takes_module,NUR1107B,and_scored,B+
Angela Solis,takes_module,GET1022,and_scored,B-
Angela Solis,takes_module,NUR1113A,and_scored,B+
Angela Solis,takes_module,NUR1114A,and_scored,B+
Leah Hays,takes_module,GES1012,and_scored,B-
Leah Hays,takes_module,GEC1005,and_scored,A+
Leah Hays,takes_module,GEC1001,and_scored,A+
Leah Hays,takes_module,GESS1002,and_scored,B+
Leah Hays,takes_module,GEH1079,and_scored,F
Leah Hays,takes_module,GEI1002,and_scored,D
Leah Hays,takes_module,GESS1012,and_scored,D
Leah Hays,takes_module,GET1050,and_scored,B-
Stephanie Brown,takes_module,GEX1022,and_scored,B-
Stephanie Brown,takes_module,MUT1201,and_scored,B+
Stephanie Brown,takes_module,GES1020,and_scored,B
Stephanie Brown,takes_module,MUA1154,and_scored,A-
Stephanie Brown,takes_module,MUA1161,and_scored,B
Stephanie Brown,takes_module,MUA1170,and_scored,D
Stephanie Brown,takes_module,MUA1109,and_scored,A
Stephanie Brown,takes_module,GEX1027,and_scored,C
Mackenzie Myers,takes_module,MUL2109,and_scored,C
Mackenzie Myers,takes_module,MUA3221,and_scored,A-
Mackenzie Myers,takes_module,MUT3224,and_scored,C
Mackenzie Myers,takes_module,MUA1163,and_scored,C+
Mackenzie Myers,takes_module,MUA3181,and_scored,C+
Mackenzie Myers,takes_module,MUA2204,and_scored,C+
Mackenzie Myers,takes_module,GET1047,and_scored,C+
Mackenzie Myers,takes_module,MUA2205,and_scored,B+
Mackenzie Myers,takes_module,MUA2177,and_scored,A+
Mackenzie Myers,takes_module,CFA1101B,and_scored,A-
Mackenzie Myers,takes_module,MUA2153,and_scored,A
Mackenzie Myers,takes_module,MUA3230,and_scored,B-
Mackenzie Myers,takes_module,MUA2255A,and_scored,C
Mackenzie Myers,takes_module,MUA1111,and_scored,B
Mackenzie Myers,takes_module,CFA1111A,and_scored,B+
Mackenzie Myers,takes_module,MUT1102,and_scored,A-
Mackenzie Myers,takes_module,GEC1014,and_scored,F
Mackenzie Myers,takes_module,MUA3153,and_scored,A+
Mackenzie Myers,takes_module,MUA3117,and_scored,C+
Mackenzie Myers,takes_module,MUA2109,and_scored,B-
Mackenzie Myers,takes_module,MUA3233,and_scored,F
Mackenzie Myers,takes_module,MUA2256,and_scored,B
Mackenzie Myers,takes_module,MUA3219,and_scored,A
Mackenzie Myers,takes_module,MUA3271,and_scored,B-
Troy Mcfarland,takes_module,IS1108,and_scored,A+
Troy Mcfarland,takes_module,CS1010R,and_scored,A-
Troy Mcfarland,takes_module,CS1010X,and_scored,D
Troy Mcfarland,takes_module,CS1231R,and_scored,A-
Troy Mcfarland,takes_module,BT1101,and_scored,C
Troy Mcfarland,takes_module,DMC1401,and_scored,D
Troy Mcfarland,takes_module,GEI1000,and_scored,A+
Troy Mcfarland,takes_module,IS1128,and_scored,C
Scott Pollard,takes_module,GES1028,and_scored,A-
Scott Pollard,takes_module,NM4258,and_scored,C
Scott Pollard,takes_module,ISE3550,and_scored,B-
Scott Pollard,takes_module,EL4401,and_scored,A+
Scott Pollard,takes_module,TS4221HM,and_scored,F
Scott Pollard,takes_module,GE4226,and_scored,A-
Scott Pollard,takes_module,SC3203,and_scored,C
Scott Pollard,takes_module,JS3551,and_scored,C
Scott Pollard,takes_module,MS2211,and_scored,C
Scott Pollard,takes_module,PS2251,and_scored,A
Scott Pollard,takes_module,MS1102E,and_scored,A-
Scott Pollard,takes_module,NHS3911PS,and_scored,D
Scott Pollard,takes_module,EC3551,and_scored,B+
Scott Pollard,takes_module,NM4256,and_scored,C+
Scott Pollard,takes_module,SC4880C,and_scored,B+
Scott Pollard,takes_module,PS4229HM,and_scored,D
Scott Pollard,takes_module,PS4303,and_scored,A-
Scott Pollard,takes_module,PS3237,and_scored,C+
Scott Pollard,takes_module,SC3214,and_scored,A
Scott Pollard,takes_module,PS3276,and_scored,C+
Scott Pollard,takes_module,PS3550,and_scored,C+
Scott Pollard,takes_module,CH1101E,and_scored,B-
Scott Pollard,takes_module,SC4205,and_scored,A-
Scott Pollard,takes_module,GEC1004,and_scored,A
Scott Pollard,takes_module,NHS3911EC,and_scored,A
Scott Pollard,takes_module,GESS1013,and_scored,A-
Scott Pollard,takes_module,SE3551,and_scored,D
Scott Pollard,takes_module,NM3230,and_scored,A
Scott Pollard,takes_module,NHS3911EL,and_scored,F
Scott Pollard,takes_module,MS2210,and_scored,B+
Scott Pollard,takes_module,MS4208,and_scored,A+
Scott Pollard,takes_module,GE4234,and_scored,A
Jennifer Padilla,takes_module,NUR2501,and_scored,C+
Jennifer Padilla,takes_module,NUR2500,and_scored,B-
Jennifer Padilla,takes_module,NUR1124,and_scored,A-
Jennifer Padilla,takes_module,NUR1123,and_scored,D
Jennifer Padilla,takes_module,MIH1102,and_scored,C+
Jennifer Padilla,takes_module,MIC2000A,and_scored,F
Jennifer Padilla,takes_module,NUR1108C,and_scored,F
Jennifer Padilla,takes_module,NUR2441A,and_scored,A-
Jennifer Padilla,takes_module,NUR2124,and_scored,B-
Jennifer Padilla,takes_module,MIH2202,and_scored,C
Jennifer Padilla,takes_module,NUR2503,and_scored,B
Jennifer Padilla,takes_module,NUR2203C,and_scored,B
Jennifer Padilla,takes_module,MD1903,and_scored,A
Jennifer Padilla,takes_module,NUR2204C,and_scored,F
Jennifer Padilla,takes_module,NUR2502,and_scored,A+
Jennifer Padilla,takes_module,HS2924,and_scored,B+
Teresa Gomez,takes_module,BSP1703,and_scored,B-
Teresa Gomez,takes_module,DMB1204FIN,and_scored,A+
Teresa Gomez,takes_module,BSP1702X,and_scored,F
Teresa Gomez,takes_module,DMB1203DAO,and_scored,B-
Teresa Gomez,takes_module,RE2706,and_scored,B+
Teresa Gomez,takes_module,DMB1203FIN,and_scored,B-
Teresa Gomez,takes_module,DAO2703,and_scored,C
Teresa Gomez,takes_module,DMB1201MKT,and_scored,A-
Teresa Gomez,takes_module,RE1702,and_scored,B+
Teresa Gomez,takes_module,DMB1202DAO,and_scored,B
Teresa Gomez,takes_module,MKT1705X,and_scored,B+
Teresa Gomez,takes_module,BPM1701,and_scored,A-
Teresa Gomez,takes_module,MNO2706,and_scored,B+
Teresa Gomez,takes_module,MNO1706A,and_scored,D
Teresa Gomez,takes_module,MKT1705C,and_scored,F
Teresa Gomez,takes_module,DMB1203MNO,and_scored,B+
Tracy Scott,takes_module,NUR4102B,and_scored,A-
Tracy Scott,takes_module,NUR3505,and_scored,F
Tracy Scott,takes_module,NUR4104B,and_scored,D
Tracy Scott,takes_module,NUR3205D,and_scored,B-
Tracy Scott,takes_module,MIC2000A,and_scored,B-
Tracy Scott,takes_module,NUR2107B,and_scored,B-
Tracy Scott,takes_module,NUR2124,and_scored,A+
Tracy Scott,takes_module,NUR4101B,and_scored,C+
Tracy Scott,takes_module,NUR4103B,and_scored,C+
Tracy Scott,takes_module,NUR3506,and_scored,A
Tracy Scott,takes_module,NUR3120,and_scored,A+
Tracy Scott,takes_module,NUR2113,and_scored,D
Tracy Scott,takes_module,NUR1108C,and_scored,C+
Tracy Scott,takes_module,GEH1043,and_scored,B+
Tracy Scott,takes_module,NUR3507,and_scored,B
Tracy Scott,takes_module,NUR3501,and_scored,B-
Tracy Scott,takes_module,ALS1010,and_scored,A-
Tracy Scott,takes_module,NUR2501,and_scored,A+
Tracy Scott,takes_module,NUR1107B,and_scored,A+
Tracy Scott,takes_module,NUR3119,and_scored,C+
Tracy Scott,takes_module,MD3140T,and_scored,B-
Tracy Scott,takes_module,NUR1202C,and_scored,D
Tracy Scott,takes_module,NUR3117A,and_scored,F
Tracy Scott,takes_module,NUR3105B,and_scored,D
Tracy Scott,takes_module,NUR2204C,and_scored,A+
Tracy Scott,takes_module,NUR3504,and_scored,D
Tracy Scott,takes_module,NUR2203C,and_scored,D
Tracy Scott,takes_module,MD3140E,and_scored,A+
Tracy Scott,takes_module,MD1902,and_scored,B-
Tracy Scott,takes_module,NUR3116C,and_scored,A
Tracy Scott,takes_module,NUR2502,and_scored,F
Tracy Scott,takes_module,NUR3500,and_scored,A+
Albert Miller,takes_module,NUR2125,and_scored,A+
Albert Miller,takes_module,MIH2202,and_scored,A+
Albert Miller,takes_module,NUR2503,and_scored,A+
Albert Miller,takes_module,MD3140E,and_scored,C
Albert Miller,takes_module,NUR2502,and_scored,D
Albert Miller,takes_module,NUR3114,and_scored,C+
Albert Miller,takes_module,MD1902,and_scored,D
Albert Miller,takes_module,NUR3105C,and_scored,A+
Albert Miller,takes_module,NUR1125,and_scored,A+
Albert Miller,takes_module,NUR2107B,and_scored,B+
Albert Miller,takes_module,NUR3504,and_scored,C+
Albert Miller,takes_module,NUR1123,and_scored,D
Albert Miller,takes_module,NUR3500,and_scored,C+
Albert Miller,takes_module,NUR1107B,and_scored,F
Albert Miller,takes_module,GEH1043,and_scored,D
Albert Miller,takes_module,NUR3502,and_scored,B-
Albert Miller,takes_module,NUR3116B,and_scored,C+
Albert Miller,takes_module,NUR1202C,and_scored,A
Albert Miller,takes_module,NUR3119,and_scored,A+
Albert Miller,takes_module,HS2924,and_scored,A-
Albert Miller,takes_module,NUR3507,and_scored,B+
Albert Miller,takes_module,NUR2106B,and_scored,C+
Albert Miller,takes_module,NUR2203C,and_scored,B
Albert Miller,takes_module,NUR3205D,and_scored,F
Albert Miller,takes_module,MIH1102,and_scored,A+
Albert Miller,takes_module,GET1022,and_scored,B+
Albert Miller,takes_module,NUR1114A,and_scored,B+
Albert Miller,takes_module,NUR3503,and_scored,D
Albert Miller,takes_module,NUR2501,and_scored,A+
Albert Miller,takes_module,NUR3506,and_scored,F
Albert Miller,takes_module,NUR1113A,and_scored,C+
Albert Miller,takes_module,MD1903,and_scored,D
Robert Sutton,takes_module,SP2273,and_scored,A
Robert Sutton,takes_module,FDP2021,and_scored,B+
Robert Sutton,takes_module,ENV3289R,and_scored,B+
Robert Sutton,takes_module,MA3310,and_scored,B+
Robert Sutton,takes_module,LSM4199,and_scored,F
Robert Sutton,takes_module,ST3288R,and_scored,A
Robert Sutton,takes_module,ENV3288R,and_scored,C+
Robert Sutton,takes_module,SP1230,and_scored,B
Robert Sutton,takes_module,HS2906,and_scored,D
Robert Sutton,takes_module,ENV3101,and_scored,A
Robert Sutton,takes_module,MA4312,and_scored,C
Robert Sutton,takes_module,MA4310,and_scored,C+
Robert Sutton,takes_module,MA2312U,and_scored,B
Robert Sutton,takes_module,SP3172,and_scored,B-
Robert Sutton,takes_module,LSM4288E,and_scored,D
Robert Sutton,takes_module,CM3312,and_scored,B+
Robert Sutton,takes_module,FST2204,and_scored,B
Robert Sutton,takes_module,PC4288Q,and_scored,A+
Robert Sutton,takes_module,FDP2011,and_scored,A
Robert Sutton,takes_module,XFS4199C,and_scored,A+
Robert Sutton,takes_module,LSM3313,and_scored,B-
Robert Sutton,takes_module,ENV3104,and_scored,B+
Robert Sutton,takes_module,UTOS2002M,and_scored,A-
Robert Sutton,takes_module,PC3239,and_scored,C
Robert Sutton,takes_module,HS1401S,and_scored,D
Robert Sutton,takes_module,UTOS2001,and_scored,C+
Robert Sutton,takes_module,LSM3289R,and_scored,C+
Robert Sutton,takes_module,QF4313,and_scored,C+
Robert Sutton,takes_module,QF4199,and_scored,D
Robert Sutton,takes_module,SP3275,and_scored,A
Robert Sutton,takes_module,ZB4199,and_scored,A
Robert Sutton,takes_module,ST4199,and_scored,B-
Brittney Parker,takes_module,NUR3119,and_scored,A
Brittney Parker,takes_module,GEH1043,and_scored,B
Brittney Parker,takes_module,NUR2441A,and_scored,A-
Brittney Parker,takes_module,NUR3106B,and_scored,A+
Brittney Parker,takes_module,NUR1202C,and_scored,B+
Brittney Parker,takes_module,NUR3504,and_scored,F
Brittney Parker,takes_module,MIH2202,and_scored,B-
Brittney Parker,takes_module,NUR3116C,and_scored,B-
Brittney Parker,takes_module,NUR2204C,and_scored,A+
Brittney Parker,takes_module,NUR3105B,and_scored,C
Brittney Parker,takes_module,NUR1107B,and_scored,A-
Brittney Parker,takes_module,NUR1113A,and_scored,C+
Brittney Parker,takes_module,NUR1108C,and_scored,B
Brittney Parker,takes_module,MD1902,and_scored,B
Brittney Parker,takes_module,NUR3503,and_scored,D
Brittney Parker,takes_module,NUR2125,and_scored,B
Brittney Parker,takes_module,NUR3505,and_scored,A-
Brittney Parker,takes_module,MIH1101,and_scored,B+
Brittney Parker,takes_module,GET1022,and_scored,A
Brittney Parker,takes_module,NUR2503,and_scored,A+
Brittney Parker,takes_module,NUR3120,and_scored,D
Brittney Parker,takes_module,NUR3116B,and_scored,B+
Brittney Parker,takes_module,MD1903,and_scored,C
Brittney Parker,takes_module,ALS1010,and_scored,C+
Meghan Mason,takes_module,ST2313,and_scored,A
Meghan Mason,takes_module,GET1020,and_scored,B
Meghan Mason,takes_module,ENV3104,and_scored,C+
Meghan Mason,takes_module,UTOS2002C,and_scored,D
Meghan Mason,takes_module,UTOS2002P,and_scored,D
Meghan Mason,takes_module,LSM3288,and_scored,B-
Meghan Mason,takes_module,ENV2288,and_scored,B
Meghan Mason,takes_module,CM2312,and_scored,B+
Meghan Mason,takes_module,LSM3312,and_scored,B+
Meghan Mason,takes_module,CM3288,and_scored,F
Meghan Mason,takes_module,UTOS2002F,and_scored,A-
Meghan Mason,takes_module,FST3310,and_scored,A-
Meghan Mason,takes_module,UTOS2201B,and_scored,D
Meghan Mason,takes_module,HS1501,and_scored,F
Meghan Mason,takes_module,HSI1000,and_scored,A-
Meghan Mason,takes_module,UTOS2001S,and_scored,D
Meghan Mason,takes_module,SP2271,and_scored,A+
Meghan Mason,takes_module,PC3289Q,and_scored,A-
Meghan Mason,takes_module,ENV3289R,and_scored,B+
Meghan Mason,takes_module,UTOS2001B,and_scored,B-
Meghan Mason,takes_module,MA1301,and_scored,F
Meghan Mason,takes_module,CM3313,and_scored,F
Meghan Mason,takes_module,HS1402S,and_scored,F
Meghan Mason,takes_module,UTOS2201S,and_scored,D
Nicholas Anderson,takes_module,ASP1201MS,and_scored,A-
Nicholas Anderson,takes_module,GEX1011,and_scored,A
Nicholas Anderson,takes_module,GL1101E,and_scored,A+
Nicholas Anderson,takes_module,GEC1039,and_scored,C
Nicholas Anderson,takes_module,MS4204HM,and_scored,A+
Nicholas Anderson,takes_module,ASP1201EC,and_scored,C
Nicholas Anderson,takes_module,EN4660HM,and_scored,B+
Nicholas Anderson,takes_module,EN4265,and_scored,A
Nicholas Anderson,takes_module,EN4880AHM,and_scored,D
Nicholas Anderson,takes_module,SC4101HM,and_scored,F
Nicholas Anderson,takes_module,SC4201HM,and_scored,C
Nicholas Anderson,takes_module,CH2293,and_scored,F
Nicholas Anderson,takes_module,GE4239HM,and_scored,C
Nicholas Anderson,takes_module,GESS1005,and_scored,A-
Nicholas Anderson,takes_module,MS3214,and_scored,F
Nicholas Anderson,takes_module,HY3245,and_scored,A
Nicholas Anderson,takes_module,GESS1009,and_scored,A-
Nicholas Anderson,takes_module,GL4885B,and_scored,A+
Nicholas Anderson,takes_module,HY2237,and_scored,B
Nicholas Anderson,takes_module,TS4660,and_scored,B
Nicholas Anderson,takes_module,PS4203HM,and_scored,B-
Nicholas Anderson,takes_module,NHS4912PH,and_scored,F
Nicholas Anderson,takes_module,PS4401,and_scored,B-
Nicholas Anderson,takes_module,NM4256,and_scored,C+
Nicholas Anderson,takes_module,TS4221HM,and_scored,B+
Nicholas Anderson,takes_module,JS4227,and_scored,B+
Nicholas Anderson,takes_module,HY2262,and_scored,A
Nicholas Anderson,takes_module,HY3231,and_scored,B-
Nicholas Anderson,takes_module,GL4884AHM,and_scored,C
Nicholas Anderson,takes_module,PS3272,and_scored,F
Nicholas Anderson,takes_module,EN4232HM,and_scored,B-
Nicholas Anderson,takes_module,GEH1054,and_scored,C+
Nancy Smith,takes_module,CH2390,and_scored,C+
Nancy Smith,takes_module,SC2209,and_scored,B+
Nancy Smith,takes_module,SC4219HM,and_scored,A-
Nancy Smith,takes_module,NHS4912ENC,and_scored,D
Nancy Smith,takes_module,MS4204HM,and_scored,B+
Nancy Smith,takes_module,SN3261,and_scored,B+
Nancy Smith,takes_module,TS2240,and_scored,D
Nancy Smith,takes_module,GEC1017,and_scored,A+
Nancy Smith,takes_module,GE4236HM,and_scored,D
Nancy Smith,takes_module,AN3203,and_scored,A-
Nancy Smith,takes_module,NM3205,and_scored,A+
Nancy Smith,takes_module,PS4881DHM,and_scored,C+
Nancy Smith,takes_module,NM4238,and_scored,A+
Nancy Smith,takes_module,GL4882B,and_scored,A+
Nancy Smith,takes_module,NM3551,and_scored,A+
Nancy Smith,takes_module,EL4252HM,and_scored,B-
Nancy Smith,takes_module,EL4660,and_scored,B
Nancy Smith,takes_module,HS2908,and_scored,D
Nancy Smith,takes_module,SW3551,and_scored,B
Nancy Smith,takes_module,SC2217,and_scored,A+
Nancy Smith,takes_module,XFA4402,and_scored,C
Nancy Smith,takes_module,NM4245,and_scored,F
Nancy Smith,takes_module,GEN2001,and_scored,A
Nancy Smith,takes_module,ASP1201EC,and_scored,F
Nancy Smith,takes_module,NM4255,and_scored,B-
Nancy Smith,takes_module,PE4401SHM,and_scored,C+
Nancy Smith,takes_module,PS3880G,and_scored,D
Nancy Smith,takes_module,NM4249HM,and_scored,B-
Nancy Smith,takes_module,SN3282,and_scored,A
Nancy Smith,takes_module,GE4218HM,and_scored,B-
Nancy Smith,takes_module,TS1101E,and_scored,B
Nancy Smith,takes_module,PH2222,and_scored,B+
Terri Hall,takes_module,PF3307,and_scored,F
Terri Hall,takes_module,CDE4301A,and_scored,F
Terri Hall,takes_module,IPM3101,and_scored,C+
Terri Hall,takes_module,BN4304,and_scored,A-
Terri Hall,takes_module,PF2110,and_scored,A-
Terri Hall,takes_module,PF3209,and_scored,C
Terri Hall,takes_module,MLE4101B,and_scored,C
Terri Hall,takes_module,CDE2000,and_scored,C+
Terri Hall,takes_module,AR1101,and_scored,A
Terri Hall,takes_module,ME3242,and_scored,D
Terri Hall,takes_module,CDE4501A,and_scored,B
Terri Hall,takes_module,CDE2605R,and_scored,D
Terri Hall,takes_module,ID2116,and_scored,C+
Terri Hall,takes_module,PF4102,and_scored,F
Terri Hall,takes_module,PF4209,and_scored,C
Terri Hall,takes_module,ESE3101,and_scored,C
Terri Hall,takes_module,IPM4101,and_scored,D
Terri Hall,takes_module,PF3208,and_scored,C+
